# c-balanced sequence
# n=101
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
24,80,52,2,60,56,63,62,16,96,4,57,22,86,19,76,25,82,77,26,65,84,6,39,67,54,9,17,5,87,83,49,48,41,46,100,45,36,89,44,38,94,75,68,20,74,12,53,3,81,30,97,50,40,88,11,29,59,31,73,37,35,51,78,42,10,55,1,90,28,18,34,43,92,69,66,32,15,70,64,13,79,85,91,93,23,71,99,72,8,21,33,95,7,14,27,101,47,58,98,61
25,99,38,5,7,72,45,2,35,61,66,55,95,43,28,101,56,59,75,70,73,36,1,29,52,97,33,18,92,81,8,30,85,34,93,40,80,63,10,31,13,9,88,14,32,82,98,91,21,44,24,51,58,15,47,69,23,89,22,84,27,83,71,67,79,54,39,26,100,76,11,50,49,64,65,86,60,41,20,77,53,17,4,3,16,90,19,62,68,48,37,46,78,12,74,87,6,96,42,57,94
26,53,51,65,90,57,79,60,92,17,3,78,18,71,48,40,20,100,69,86,19,85,94,73,24,74,46,66,33,64,68,72,75,14,50,11,6,84,27,8,93,58,37,54,16,96,21,99,49,23,77,13,2,4,9,7,34,70,42,76,87,41,62,95,98,47,12,97,36,101,61,52,44,91,89,83,80,56,35,39,29,63,81,22,25,38,15,32,43,59,1,67,31,30,55,88,5,82,28,45,10
27,91,55,4,31,83,10,101,39,67,50,21,74,76,35,12,63,49,17,37,98,58,30,90,15,32,3,82,1,42,88,87,59,44,19,61,62,77,52,81,22,56,45,41,47,85,2,64,72,73,100,43,26,68,5,25,28,36,79,80,66,13,60,96,24,78,53,6,71,93,57,40,95,18,7,38,92,99,16,65,75,54,46,89,94,14,86,70,33,97,34,51,48,84,9,69,8,29,20,23,11
28,69,84,77,9,62,70,30,34,47,89,96,44,94,65,75,14,93,22,41,88,12,67,48,46,37,23,99,38,10,16,43,25,31,7,60,21,32,86,39,55,91,6,51,59,78,57,95,18,11,80,56,35,53,97,90,92,20,50,64,61,29,49,1,15,8,19,82,5,58,81,63,33,26,98,74,17,68,72,87,73,2,27,45,24,101,42,66,83,52,36,54,3,4,76,13,79,71,85,100,40
29,70,93,6,11,54,68,15,8,97,27,1,33,7,87,45,81,13,61,42,80,51,31,64,2,26,53,36,4,40,57,84,98,67,20,74,23,71,25,69,73,100,5,89,92,24,63,83,66,14,82,34,39,17,46,101,79,85,52,75,12,99,38,3,56,94,16,41,30,72,37,10,9,86,21,28,88,48,58,59,76,55,60,43,77,95,78,18,50,47,35,96,19,65,22,32,90,62,91,49,44
36,59,94,85,79,71,32,100,49,30,16,58,13,101,72,24,46,9,83,43,29,91,66,20,8,86,95,22,50,52,78,56,76,65,54,90,5,28,3,47,35,40,18,34,70,33,38,61,10,62,60,74,67,19,48,27,55,96,63,15,2,7,45,77,75,17,87,44,31,69,4,23,25,42,88,82,51,14,84,11,81,26,57,97,41,39,12,6,64,89,98,93,73,92,99,1,37,53,80,68,21
48,64,46,19,88,43,23,80,44,81,14,73,77,53,92,38,89,57,5,58,6,99,18,79,34,78,51,68,62,17,11,35,55,26,45,96,9,12,97,82,4,60,50,28,101,42,84,87,1,65,29,37,83,71,95,98,91,93,3,41,33,86,21,74,59,40,85,32,39,8,66,22,27,24,13,90,100,36,76,52,10,47,49,31,20,7,2,30,15,25,61,16,63,69,56,94,67,70,75,72,54
42,63,33,10,61,97,5,56,86,25,95,52,48,69,98,82,85,39,90,36,96,3,72,32,21,57,59,47,41,27,74,29,99,37,2,81,24,75,13,92,1,15,93,49,76,53,94,7,68,31,22,12,54,16,6,89,8,18,51,100,62,19,88,30,65,73,20,9,4,70,91,64,67,46,87,50,23,45,78,40,83,35,71,55,79,80,28,11,34,44,101,84,66,17,58,43,77,26,60,14,38
41,66,37,20,45,75,28,40,3,55,22,76,19,38,26,80,4,60,7,87,1,63,62,54,101,14,49,84,21,71,100,39,91,15,79,94,16,42,65,30,23,98,83,69,10,77,52,17,88,48,90,70,61,43,73,44,78,58,99,68,47,67,32,72,11,18,31,35,12,13,25,96,89,2,29,97,81,93,6,34,86,92,56,74,8,36,27,57,85,53,82,5,9,33,24,51,95,50,64,59,46
