# c-balanced Latin square
# n=84
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
49,38,69,33,78,73,44,5,18,7,70,58,12,20,76,13,55,11,41,53,63,34,72,42,19,35,43,31,36,27,61,82,81,52,45,32,14,79,15,77,62,67,24,60,17,56,37,46,21,26,64,66,39,59,74,3,2,40,23,80,28,22,71,48,30,4,54,51,29,68,50,16,57,9,6,8,1,75,65,84,83,10,47,25
50,39,6,67,23,66,21,29,47,83,24,17,74,40,35,61,8,79,68,30,32,59,46,57,37,11,26,3,55,71,56,1,64,84,28,16,36,63,48,10,81,2,38,22,69,80,62,76,51,18,54,5,34,25,73,9,75,72,58,52,7,12,77,43,41,65,82,44,19,42,45,4,60,33,27,14,20,78,53,13,49,15,70,31
51,37,17,36,84,43,45,25,59,82,10,73,68,22,41,52,44,65,70,60,1,2,14,48,18,7,24,15,58,62,19,57,80,47,83,20,12,9,67,54,33,11,53,66,55,46,63,42,27,4,31,81,78,6,61,16,30,29,13,49,75,79,38,34,8,3,69,26,76,5,74,72,40,39,35,77,28,23,71,50,56,21,64,32
53,27,72,62,80,9,54,65,79,42,71,69,60,28,26,34,5,25,3,15,77,31,75,56,6,64,13,70,49,22,4,74,8,50,30,78,29,43,23,73,82,76,51,35,32,12,39,19,40,84,7,38,83,63,45,81,21,1,67,33,46,55,48,36,20,10,14,2,61,47,59,17,66,68,24,18,16,52,41,11,58,57,44,37
58,41,75,81,35,83,26,63,34,39,19,4,67,46,16,49,29,45,33,66,40,23,21,38,76,17,78,2,20,32,5,69,18,72,48,11,37,52,44,61,68,71,1,57,65,14,3,59,10,28,50,47,60,77,36,15,74,27,24,43,8,70,56,64,13,9,31,79,53,25,84,30,62,51,82,22,80,12,73,55,7,6,42,54
52,11,74,7,30,82,64,77,12,43,55,61,38,1,54,42,24,47,14,36,10,20,80,79,50,51,21,73,33,84,53,68,17,31,25,13,70,56,59,40,58,16,75,4,6,83,8,44,49,9,48,34,41,32,29,35,57,22,2,62,37,15,3,66,78,26,18,27,60,28,19,71,69,81,65,76,23,5,46,72,45,67,39,63
55,14,2,19,3,76,31,53,13,84,75,60,18,48,57,59,32,78,12,22,44,35,62,27,74,8,63,9,67,39,28,15,7,71,66,26,81,69,33,46,41,43,5,77,20,23,24,82,72,58,45,79,21,37,42,68,65,25,51,64,54,40,6,50,4,16,80,73,56,10,34,11,70,52,49,61,47,38,1,83,17,36,30,29
56,23,5,71,15,8,48,51,46,1,30,22,36,50,70,73,49,9,16,37,81,67,61,29,40,44,28,66,82,47,13,65,41,79,6,54,45,31,34,27,72,64,78,42,38,26,25,11,17,80,2,12,52,69,19,10,18,59,39,7,57,76,53,21,83,24,60,62,63,3,75,58,43,55,14,33,32,74,20,77,68,35,4,84
57,10,24,65,69,28,20,37,68,6,11,80,62,64,33,21,38,23,72,50,4,7,42,5,58,34,75,52,16,25,77,60,49,63,59,74,39,76,30,35,55,83,3,36,70,18,54,22,84,61,66,43,53,13,56,17,8,47,73,81,14,71,1,15,29,12,45,46,82,67,32,78,41,44,31,26,40,51,27,2,79,9,19,48
63,29,68,78,27,58,77,41,32,40,9,2,26,76,19,4,39,6,17,52,53,65,43,84,83,18,61,45,54,51,24,3,12,1,35,14,62,73,21,7,37,56,8,47,10,30,50,79,74,16,71,67,49,46,31,28,60,11,48,82,44,42,20,55,72,22,33,36,69,23,38,59,75,57,66,5,70,25,64,80,13,34,15,81
