# c-balanced Latin square
# n=91
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
62,28,12,74,43,81,3,20,77,8,66,73,68,17,61,72,76,70,53,25,49,82,56,91,60,87,86,18,85,19,78,26,42,1,5,48,6,11,57,14,34,55,89,65,52,29,7,79,27,84,44,75,41,32,83,46,40,80,88,10,24,58,16,15,4,35,71,33,36,39,37,50,23,2,13,30,51,21,63,45,47,31,64,54,59,69,9,38,22,90,67
51,48,24,42,35,57,59,83,36,44,75,71,31,19,43,2,52,30,67,45,79,39,4,76,47,80,33,9,37,3,55,63,72,23,50,8,40,77,62,54,90,46,60,81,86,16,22,66,74,15,12,11,21,17,87,53,20,89,38,5,64,69,68,91,13,27,49,61,18,7,1,34,58,84,10,88,25,41,6,73,78,56,32,28,85,65,14,82,29,70,26
64,10,49,16,54,91,89,53,1,47,14,20,40,23,36,34,22,73,21,29,51,12,78,68,44,6,65,38,41,61,56,15,58,2,27,13,52,84,7,26,42,69,25,3,70,31,67,43,18,8,28,9,72,88,59,32,76,35,81,46,4,55,85,90,17,30,50,63,80,82,5,19,66,79,62,83,74,75,11,39,71,86,57,60,37,33,24,45,87,77,48
13,38,86,57,18,70,79,58,21,50,63,46,83,11,55,80,9,4,28,60,17,90,59,32,19,81,5,75,25,77,66,45,73,87,29,78,85,10,88,37,35,1,39,30,6,24,62,14,33,3,61,65,82,34,26,71,64,42,36,74,41,67,43,56,47,48,54,76,84,22,16,91,89,68,72,49,40,20,15,69,23,12,52,44,51,7,53,2,27,31,8
82,22,6,88,31,77,41,40,39,26,67,24,79,15,8,85,84,37,62,20,81,7,91,27,72,23,69,74,76,17,21,48,28,53,16,64,36,71,33,47,13,56,12,19,73,44,90,34,5,60,68,49,80,1,45,54,75,2,51,50,3,63,59,10,52,87,57,38,65,32,42,14,29,70,25,86,78,89,4,83,30,9,55,11,18,35,66,61,46,43,58
84,32,87,71,61,9,52,25,27,70,34,69,89,2,74,35,38,5,33,1,42,65,86,8,66,55,43,14,54,50,59,30,18,57,24,49,75,83,68,63,51,22,11,58,40,4,82,41,23,45,48,20,79,78,7,85,29,16,31,12,21,37,26,36,46,77,6,39,62,81,44,28,67,60,73,47,3,53,64,91,80,90,17,19,76,10,56,88,15,13,72
68,44,11,81,29,42,67,65,7,56,49,72,60,78,45,14,90,82,16,10,87,69,30,88,3,48,15,35,39,62,31,37,46,80,58,86,74,89,61,4,64,43,59,27,91,51,71,53,47,55,2,17,19,13,76,52,73,84,8,66,70,1,24,25,23,28,83,12,85,79,9,40,54,18,26,57,36,77,38,34,33,22,5,6,75,63,20,41,50,32,21
76,5,47,36,3,41,18,73,23,16,61,19,51,46,89,75,6,56,66,64,63,71,54,13,28,83,12,52,34,26,88,40,10,60,4,20,90,38,17,9,29,53,85,84,45,32,50,78,42,57,77,39,35,25,22,86,27,15,91,11,14,33,44,67,31,72,58,69,74,21,80,8,59,55,7,37,43,24,48,70,2,82,68,30,87,1,49,62,81,65,79
78,26,30,50,55,62,54,17,15,43,33,4,12,32,31,91,58,57,3,48,80,22,18,85,53,70,63,1,2,7,79,77,68,11,41,69,25,72,87,81,44,76,28,24,8,75,83,21,67,52,64,89,37,6,39,90,49,65,40,19,9,82,13,88,20,61,73,45,10,47,51,71,38,27,46,16,56,35,60,66,5,29,23,14,84,34,42,36,86,74,59
80,8,52,59,45,37,77,34,2,74,21,48,13,39,42,17,86,27,44,47,26,1,46,57,16,14,82,6,5,24,67,65,20,84,19,56,88,35,73,32,79,36,49,33,61,66,38,72,87,9,29,10,30,58,70,43,69,63,60,62,83,50,23,7,22,41,18,55,75,11,31,68,15,64,85,53,90,76,28,89,81,54,78,3,91,25,71,51,40,4,12
75,20,85,72,25,28,73,76,35,64,38,59,70,53,9,11,49,29,68,55,21,40,41,31,62,10,36,71,89,90,83,51,12,47,54,66,22,30,23,50,82,27,91,80,60,65,5,1,7,86,46,15,81,74,14,44,77,18,79,78,34,56,4,32,43,8,84,3,24,33,52,87,6,88,61,2,19,58,67,42,57,13,48,26,45,17,16,69,39,37,63
69,40,66,13,14,63,22,6,24,91,88,87,37,90,81,7,67,60,79,19,33,61,23,84,4,9,57,58,32,29,64,3,44,15,42,70,43,45,39,16,59,78,34,18,55,48,74,26,28,54,56,25,36,11,38,2,51,10,75,72,68,12,20,35,71,53,5,89,27,86,17,76,73,31,30,65,50,8,82,21,1,49,47,46,52,41,85,77,80,62,83
