# c-balanced Latin square
# n=93
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
28,92,83,6,86,74,52,1,68,65,87,16,59,21,72,57,88,82,85,76,32,84,60,61,31,25,46,43,62,34,27,26,30,54,2,78,9,36,14,73,67,53,50,7,40,48,15,11,29,10,24,77,18,55,22,23,20,49,51,47,69,80,44,63,39,12,91,58,45,33,19,71,89,4,90,66,35,79,42,3,13,41,93,38,56,5,70,64,37,81,17,8,75
29,58,54,5,17,66,7,10,15,57,12,48,73,18,13,50,63,53,80,42,71,35,36,45,9,52,70,41,23,8,44,47,74,77,75,64,93,86,85,39,62,72,51,79,91,25,2,37,33,32,90,84,65,56,38,31,88,4,67,28,89,87,78,81,16,30,83,60,3,69,6,55,11,92,59,61,1,34,76,19,20,26,14,27,43,40,22,49,24,21,68,46,82
30,73,90,64,59,56,80,37,20,41,35,78,17,62,47,21,19,33,4,14,60,10,7,49,11,28,81,22,63,55,40,54,69,89,61,43,91,12,44,3,8,5,82,38,13,16,24,70,26,85,52,58,68,1,6,83,76,34,42,27,93,46,92,31,75,9,66,50,79,39,48,29,77,45,53,72,71,2,15,23,36,84,18,74,65,25,51,67,87,57,32,86,88
31,93,84,15,9,89,11,65,86,25,24,2,27,36,38,6,67,18,23,26,34,22,75,51,77,68,79,4,87,92,64,48,1,49,82,50,63,42,88,21,33,32,17,46,45,20,57,43,8,81,39,61,69,71,83,47,19,10,70,66,53,35,3,60,74,76,7,72,40,16,13,56,28,78,14,12,80,30,37,29,85,5,62,58,91,41,59,90,54,55,52,44,73
32,60,85,13,78,30,72,81,91,45,70,43,38,79,9,44,39,5,66,3,62,16,74,67,40,83,75,76,1,59,14,58,28,52,88,36,90,71,68,37,55,27,19,29,65,56,53,89,87,49,80,12,63,15,41,24,73,2,64,25,23,17,6,18,20,26,57,10,93,54,86,35,21,22,51,46,50,7,82,69,8,4,47,42,31,48,34,92,61,84,33,11,77
33,90,58,2,61,3,69,42,26,71,53,56,8,55,7,1,34,74,54,50,25,20,92,6,12,91,23,48,32,86,19,35,31,57,4,15,46,18,10,29,60,84,47,59,77,43,22,41,67,93,51,27,40,62,85,82,14,36,13,21,45,38,70,68,11,81,5,37,24,87,30,83,44,52,63,49,73,17,88,72,39,75,28,78,9,79,66,89,16,65,76,80,64
34,82,29,68,16,63,87,40,46,77,47,52,83,92,28,49,69,37,51,31,11,88,80,24,50,44,57,30,72,93,8,78,73,53,13,17,5,39,75,2,89,58,66,21,23,64,36,59,35,7,42,91,76,48,79,55,9,62,90,18,65,84,61,67,14,33,32,41,22,38,74,4,1,85,20,27,54,12,86,25,71,6,60,26,3,70,56,45,81,10,43,19,15
35,89,14,66,79,64,70,22,19,48,61,76,39,85,84,92,43,20,56,45,21,33,73,41,87,55,27,18,15,60,38,17,51,71,10,26,6,16,25,81,65,12,74,72,9,1,78,58,28,86,3,75,88,54,32,4,77,30,44,7,11,49,82,37,40,8,52,63,46,36,34,80,31,67,42,13,5,83,57,90,24,59,91,2,68,93,23,29,47,69,53,50,62
36,81,12,10,67,24,47,44,88,75,11,23,4,25,93,46,41,54,68,57,59,42,65,90,63,86,7,78,13,3,82,76,2,62,40,37,79,30,61,31,45,80,85,83,19,70,52,34,69,73,50,5,21,53,33,28,26,39,60,8,15,29,91,71,22,58,6,56,77,27,66,9,43,16,84,32,74,64,87,55,92,1,89,72,51,49,18,17,38,48,14,20,35
37,53,21,49,8,27,55,32,59,62,72,6,86,65,80,52,71,64,17,15,4,29,93,58,83,16,26,5,69,77,67,43,9,45,70,87,14,84,54,22,91,48,38,76,42,92,66,18,44,20,74,46,25,10,50,56,81,35,12,68,1,24,57,88,2,51,47,23,89,78,90,73,40,39,82,19,36,75,3,61,33,30,34,31,13,11,85,63,60,79,41,28,7
