# c-balanced Latin square
# n=48
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
26,7,46,8,5,32,2,22,31,30,11,33,4,12,29,10,15,6,48,20,16,17,25,39,36,28,41,34,38,3,42,13,23,47,9,37,27,43,45,1,18,19,21,35,24,44,14,40
27,4,14,42,17,3,43,10,39,35,22,18,9,24,23,38,19,34,31,28,1,5,21,12,44,29,40,37,45,6,11,15,36,32,13,30,26,20,8,33,16,48,41,25,7,47,2,46
28,41,34,6,13,15,9,44,24,21,26,20,7,17,25,35,45,47,40,8,4,46,19,16,33,2,18,32,14,5,27,29,1,12,48,42,36,10,3,39,43,38,22,30,23,37,31,11
29,9,48,11,18,12,42,40,1,41,36,28,31,37,16,32,2,43,7,38,47,30,27,14,23,8,21,26,24,39,45,22,3,4,10,34,44,35,46,25,20,6,15,17,5,33,13,19
30,19,38,20,39,2,8,33,5,34,23,15,45,6,22,3,36,46,13,10,26,44,24,35,42,25,32,7,48,31,18,43,40,17,47,21,11,28,37,41,9,14,1,29,27,16,4,12
31,21,39,16,29,35,14,46,25,3,47,27,42,43,11,20,4,5,23,48,12,37,41,34,17,15,1,22,13,10,33,9,44,38,7,19,18,2,6,36,40,32,45,24,26,28,30,8
40,10,43,45,19,36,26,38,7,37,2,32,1,41,13,24,44,33,25,17,22,14,18,9,11,6,27,12,28,4,8,30,46,5,16,15,39,29,47,21,23,34,42,31,20,35,3,48
33,22,44,15,27,47,17,6,4,12,8,34,18,16,48,28,1,3,30,26,40,21,10,36,31,46,19,29,20,37,35,38,41,42,45,32,23,24,5,14,13,7,2,11,39,9,43,25
32,13,47,24,25,21,4,11,20,23,5,14,48,46,38,39,9,19,37,35,42,29,7,30,3,45,43,15,44,16,41,34,2,28,33,8,31,26,17,12,27,36,18,10,22,40,6,1
35,18,9,23,1,45,28,7,48,6,30,10,8,32,26,15,31,29,27,33,2,43,22,5,40,39,11,16,36,47,24,12,25,20,3,14,37,19,13,34,38,44,4,46,21,17,41,42
36,12,3,17,28,43,13,31,42,44,16,29,11,21,2,34,7,40,41,39,20,38,23,37,8,1,14,46,35,30,19,6,9,22,27,25,48,4,15,24,5,10,26,47,45,32,18,33
37,5,30,2,14,22,27,41,26,33,19,46,25,40,36,12,24,45,6,32,18,15,47,28,4,10,42,17,23,34,48,31,35,13,11,20,21,1,7,43,3,39,9,44,8,29,16,38
38,8,4,18,34,10,29,35,46,20,45,3,24,39,1,17,11,42,16,21,13,9,44,25,48,12,33,47,5,32,14,7,26,43,23,28,6,41,31,30,22,40,27,37,2,19,36,15
39,16,31,5,7,41,24,9,22,15,25,37,19,28,44,27,30,35,4,43,6,36,32,45,47,26,38,2,18,17,40,1,11,21,46,29,10,12,23,42,8,33,13,34,3,48,20,14
42,6,26,40,48,44,15,23,13,17,1,43,33,34,18,47,14,10,9,29,19,8,3,31,41,16,20,21,27,22,36,39,24,37,2,4,30,32,38,35,45,11,5,7,25,12,46,28
46,20,25,36,30,11,32,12,47,38,7,21,2,14,31,37,23,28,8,22,5,34,40,6,27,44,13,10,19,15,3,17,45,48,39,9,33,42,18,29,1,24,43,16,41,4,35,26
43,11,10,21,3,16,33,45,8,29,9,12,38,35,4,41,13,20,2,46,27,48,39,1,24,7,28,25,42,26,37,5,14,34,44,18,22,36,40,32,15,31,23,19,6,30,17,47
45,1,27,32,37,40,19,34,14,24,48,22,5,3,42,6,26,17,15,31,23,35,20,46,18,30,36,4,33,38,13,47,16,29,41,43,8,25,39,10,28,21,12,2,9,11,44,7
47,2,28,41,42,31,39,36,10,18,35,44,26,15,7,33,16,38,11,14,25,4,12,29,32,37,24,45,43,9,21,23,8,30,1,17,3,27,22,19,6,46,20,48,40,13,34,5
44,17,19,29,4,6,18,21,27,40,39,13,30,20,9,5,22,12,1,3,41,33,42,2,43,34,23,8,11,7,28,32,10,15,26,35,45,46,48,16,47,25,14,36,38,31,24,37
23,15,13,22,8,46,25,30,43,28,41,17,36,10,45,40,48,32,34,24,7,16,26,38,19,5,9,39,1,2,44,4,27,31,6,12,47,14,20,11,37,35,3,33,42,18,21,29
48,24,7,12,26,38,1,37,16,11,42,6,23,27,19,46,21,18,44,47,45,28,17,15,14,35,31,3,41,29,25,20,33,36,40,5,13,34,9,2,4,30,8,32,43,10,22,39
34,14,33,35,9,20,5,3,2,32,31,4,47,29,8,43,25,39,36,37,30,10,11,13,21,22,48,6,40,12,46,18,42,19,24,38,16,7,44,26,17,41,28,15,1,27,45,23
