# c-balanced sequence
# n=97
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
25,75,33,11,10,65,66,24,17,68,54,43,9,69,47,97,29,19,67,85,5,78,77,58,37,82,45,18,73,50,21,31,46,7,6,13,38,87,83,30,71,88,22,95,27,57,59,56,64,41,60,2,94,39,36,28,26,34,53,4,12,86,84,20,23,55,32,48,81,51,74,93,42,44,80,92,1,8,14,40,62,16,72,15,49,89,96,76,91,70,79,63,3,35,52,61,90
26,48,42,79,45,61,91,94,34,40,81,52,21,32,86,88,87,62,83,22,53,70,9,59,35,20,12,90,23,74,14,97,2,57,89,93,8,25,41,92,51,72,39,49,55,1,85,69,96,66,15,76,80,13,27,44,5,56,78,3,16,31,19,50,65,46,75,63,67,4,54,11,6,10,64,60,82,73,58,33,47,18,95,30,7,24,77,38,43,29,68,36,37,84,28,71,17
27,56,57,20,4,3,46,51,7,78,42,76,77,49,43,63,38,15,55,82,71,96,68,36,28,62,60,44,6,17,19,80,64,33,54,84,22,67,47,87,75,10,18,16,74,50,29,58,35,11,72,79,30,37,14,45,32,24,2,1,61,21,92,95,73,66,91,90,70,9,40,89,83,13,23,94,26,12,39,52,81,41,85,88,65,8,5,69,48,93,86,34,97,25,31,53,59
28,84,83,53,13,35,80,64,47,50,73,18,44,93,92,70,41,4,48,23,40,66,65,8,52,85,30,39,26,61,29,86,24,32,95,59,34,16,9,54,37,69,63,90,91,5,38,81,20,71,97,31,89,58,12,25,77,17,11,51,7,68,94,57,15,87,14,10,49,21,27,36,43,67,76,79,56,46,96,3,78,55,45,75,33,22,60,74,6,82,1,42,2,62,19,72,88
29,69,37,14,46,58,10,36,5,39,45,19,67,8,75,2,96,11,33,6,25,79,89,24,7,16,31,3,81,88,84,68,56,1,85,12,94,23,55,74,70,27,76,80,86,73,82,42,53,78,44,63,65,62,38,22,49,43,60,93,72,50,34,59,28,95,71,47,41,97,87,66,18,30,32,57,17,48,52,20,90,92,61,35,13,91,64,54,9,77,51,4,83,21,15,26,40
30,90,87,15,91,1,22,93,71,41,34,38,96,16,60,17,82,94,72,43,77,95,97,92,76,54,55,32,49,52,78,51,69,66,62,11,40,20,36,5,61,65,33,25,59,21,75,89,13,3,83,26,48,19,18,39,86,57,9,79,74,88,70,64,42,44,6,53,84,37,2,35,80,28,4,7,85,45,29,23,31,24,47,14,68,10,58,81,27,63,67,50,46,56,12,73,8
31,81,27,2,74,95,59,50,9,62,6,85,83,48,68,1,89,63,12,47,51,21,64,80,88,72,53,57,92,58,13,8,37,18,52,45,42,35,14,4,73,17,43,26,29,77,10,34,61,7,28,91,90,46,40,97,23,94,15,67,36,54,38,82,71,56,5,19,3,30,20,33,16,25,22,24,41,69,75,11,93,60,32,84,86,66,55,70,39,65,78,44,49,96,76,87,79
32,67,78,49,70,54,21,12,97,23,44,88,75,61,26,73,66,20,31,3,76,87,90,56,71,19,65,22,15,10,82,27,35,25,77,60,79,50,46,86,41,93,68,45,11,28,9,48,39,17,33,24,8,47,84,59,2,4,52,81,30,37,85,55,1,40,96,58,69,64,72,13,14,95,51,63,43,6,62,53,5,42,34,89,80,83,92,57,29,16,18,74,38,7,36,91,94
33,65,5,18,55,39,7,96,49,4,79,57,28,35,24,69,84,6,56,13,86,94,42,73,46,29,67,74,38,2,83,40,70,81,34,91,72,43,44,48,53,32,19,30,15,78,36,16,92,63,14,23,51,64,93,95,68,76,80,27,66,62,90,3,75,45,8,89,88,52,60,31,9,12,82,77,58,59,50,87,1,54,21,25,97,26,61,17,37,20,41,85,10,71,11,47,22
40,58,17,60,97,86,11,52,51,26,63,80,53,20,14,30,28,61,9,37,57,10,45,41,50,25,95,93,79,5,64,91,75,59,21,4,89,18,71,67,94,82,8,31,3,47,6,62,49,55,22,85,42,54,1,16,88,87,29,96,44,77,12,39,78,7,68,24,74,65,83,92,90,38,15,46,84,36,19,35,76,27,70,23,34,73,33,56,72,32,2,13,43,69,48,66,81
