# c-balanced sequence
# n=69
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
43,6,22,44,58,25,24,63,56,50,68,40,60,59,31,10,19,55,33,62,3,57,67,12,29,66,39,61,4,32,23,15,1,14,16,17,20,48,27,5,30,11,38,26,41,18,52,42,21,36,37,35,13,53,34,64,8,9,69,2,51,46,28,47,45,49,54,65,7
54,11,9,5,27,34,55,41,8,3,53,69,56,65,37,4,64,42,20,2,43,13,7,24,14,47,21,46,40,28,38,22,36,60,61,12,25,49,19,31,68,6,45,35,59,10,57,67,58,62,33,51,29,66,18,26,44,52,48,16,63,17,1,30,32,15,39,23,50
45,16,59,57,17,49,26,1,39,36,21,23,30,66,32,54,12,29,34,52,51,28,35,62,8,48,41,15,19,42,2,63,27,18,69,40,68,53,24,44,7,33,13,38,58,20,3,50,60,56,47,9,14,43,22,11,25,10,65,64,6,31,67,61,5,37,4,46,55
52,13,58,4,20,12,65,18,60,33,35,10,15,11,38,6,9,48,46,39,14,5,45,31,44,50,68,17,67,51,7,25,49,27,37,43,1,64,22,32,29,63,34,66,16,19,47,30,2,61,55,54,23,42,59,3,57,8,28,62,24,36,56,40,53,26,21,41,69
53,21,69,63,66,64,68,22,28,42,47,62,2,55,67,24,1,58,40,37,61,50,36,20,19,30,5,16,43,45,56,6,10,59,54,35,26,60,18,23,8,3,57,4,39,46,51,44,25,32,52,41,15,9,65,7,38,31,49,14,34,12,29,11,13,33,27,48,17
51,25,61,64,23,14,29,32,38,67,16,26,19,44,41,8,3,59,7,27,60,49,15,4,47,34,65,52,31,11,30,57,33,66,39,13,55,9,46,28,42,56,48,17,62,12,24,69,43,63,45,36,37,40,5,53,54,1,20,58,21,68,10,50,22,2,35,18,6
48,15,54,31,37,17,46,33,6,40,7,20,43,50,13,63,49,57,9,69,25,41,56,18,26,3,22,32,24,53,12,58,38,62,21,23,36,65,47,2,10,61,14,67,1,68,5,11,28,35,34,64,44,60,27,16,29,30,39,59,55,4,8,52,42,66,19,45,51
56,2,36,28,10,62,39,5,66,61,30,1,35,34,45,53,16,18,21,22,68,11,42,46,27,59,6,55,44,64,69,8,9,3,29,52,4,50,15,40,37,51,54,25,7,49,43,17,65,41,20,19,48,31,67,47,12,23,13,33,26,57,38,32,60,58,24,63,14
50,8,40,24,19,52,51,44,29,48,43,55,25,33,47,14,5,28,65,38,54,12,17,67,1,58,23,10,60,13,36,11,34,57,42,41,63,2,45,21,20,32,27,22,31,30,53,26,4,59,49,46,39,3,61,6,68,15,66,35,18,7,16,37,69,64,9,62,56
49,12,42,68,60,59,53,3,27,14,13,9,31,36,4,58,18,15,63,32,30,64,26,57,45,51,8,66,62,37,35,20,16,48,5,56,61,33,39,69,41,52,7,6,23,50,10,29,55,40,28,38,65,21,24,2,19,11,25,22,17,44,34,46,43,67,47,54,1
46,7,41,34,47,11,21,17,57,38,23,65,22,69,12,25,20,56,35,31,6,66,55,40,2,37,9,63,39,29,4,59,54,67,28,14,24,44,43,58,19,26,62,15,5,64,18,48,13,16,68,8,1,51,32,45,36,33,42,60,49,3,27,53,52,30,50,61,10
4,32,45,30,26,43,62,10,67,37,19,24,61,39,27,50,33,2,51,29,53,52,44,60,35,16,48,49,21,17,54,68,46,15,1,64,7,31,66,12,18,34,8,9,47,36,58,63,57,42,14,3,22,6,69,55,28,41,56,23,65,59,13,5,38,11,25,40,20
57,5,1,56,65,16,20,11,41,58,54,49,52,8,3,28,32,23,68,59,36,10,14,64,22,69,53,27,42,18,33,50,47,40,19,60,6,38,25,51,13,55,29,46,45,35,37,61,34,66,17,67,24,2,26,30,21,62,63,12,48,43,4,7,31,9,44,15,39
55,18,6,2,67,63,15,42,21,9,31,66,46,24,64,48,26,17,1,13,34,62,61,23,7,38,25,3,20,47,43,28,65,52,44,30,69,11,10,53,49,59,12,60,14,4,40,56,8,22,39,33,50,35,37,58,27,5,51,68,32,54,19,41,16,45,36,57,29
60,22,35,29,39,38,58,34,4,69,59,44,51,6,54,40,13,45,19,48,9,7,43,33,36,46,67,37,14,63,26,5,30,56,55,32,3,41,16,50,57,65,1,68,24,11,25,31,27,15,2,23,10,62,12,52,20,53,21,61,28,47,66,17,8,18,64,42,49
47,28,39,12,35,3,27,25,64,10,8,50,53,62,15,60,37,52,30,55,49,24,19,5,11,56,31,51,41,16,61,45,2,13,68,66,22,17,4,36,54,23,42,20,44,38,21,32,33,67,57,63,18,7,29,9,1,40,14,43,46,69,48,59,34,6,65,26,58
66,33,13,7,36,44,8,40,45,16,17,29,68,20,5,11,22,38,61,41,42,65,21,28,63,32,57,1,12,34,62,18,23,6,9,27,67,58,59,26,48,47,39,64,43,69,15,49,54,30,24,53,52,19,4,50,46,37,55,31,56,25,51,3,10,35,14,2,60
61,31,37,43,48,1,23,14,30,32,57,4,47,63,2,59,41,10,6,15,46,18,54,50,65,24,29,69,26,58,49,19,21,8,25,53,51,35,34,33,62,5,40,52,3,9,60,16,64,38,7,42,27,36,44,56,66,17,45,11,39,20,22,68,28,55,12,13,67
65,9,51,52,55,18,60,69,26,68,27,42,7,40,56,43,34,53,3,58,67,39,32,25,66,12,4,2,38,15,10,44,14,22,11,45,21,20,37,61,17,35,16,19,29,6,28,36,46,48,13,59,47,41,33,31,49,64,54,50,5,63,62,57,1,24,23,30,8
67,3,19,49,54,5,36,50,46,20,56,12,21,14,35,69,44,62,16,17,26,47,51,13,68,52,33,59,23,57,31,64,39,7,24,48,28,8,55,63,27,2,41,30,65,42,1,22,10,11,58,61,66,45,25,60,43,32,6,40,53,9,18,29,15,4,38,37,34
59,24,23,25,6,33,37,49,53,62,63,28,64,1,57,66,46,4,43,11,45,22,8,30,42,17,40,50,65,48,9,60,29,61,34,15,18,13,7,3,38,31,10,56,32,54,14,68,44,5,69,12,55,20,39,51,35,26,19,52,67,2,58,36,47,41,16,27,21
58,34,11,15,22,45,48,54,19,18,2,38,41,16,9,29,21,39,14,28,56,31,27,10,55,60,20,64,5,6,1,40,12,35,36,46,47,32,42,67,43,66,37,50,51,17,62,52,53,65,26,4,49,30,68,23,69,61,57,8,13,33,24,44,25,63,7,59,3
68,26,27,32,42,13,61,7,24,6,25,36,37,17,30,31,67,8,50,66,33,4,3,49,41,43,44,47,35,52,55,53,69,58,2,62,19,29,1,9,45,28,21,63,57,59,39,20,51,18,60,40,5,64,38,48,65,16,34,15,10,14,23,12,54,46,56,11,22
64,10,53,8,30,57,47,52,51,5,60,11,58,23,61,55,65,27,12,44,20,69,38,16,9,39,54,36,68,25,24,32,4,50,63,33,59,40,14,56,22,15,49,18,48,26,41,45,3,31,1,43,34,46,13,42,67,7,2,29,37,35,6,21,62,17,66,28,19
63,14,21,38,40,2,28,12,1,59,39,67,13,18,26,51,7,24,47,64,35,29,48,34,15,62,19,45,56,46,3,42,41,43,31,49,54,5,52,6,11,4,36,53,8,55,66,23,37,9,25,32,17,16,57,10,22,58,44,27,30,60,50,65,20,61,69,33,68
62,20,17,46,41,4,66,43,35,15,22,34,48,32,19,42,36,25,60,57,40,2,6,58,21,61,14,28,30,8,27,51,37,26,10,65,16,23,68,64,24,44,69,33,13,67,7,12,47,50,29,56,54,11,63,59,18,3,38,9,1,45,55,49,39,52,53,31,5
44,69,16,50,29,56,31,9,65,55,33,3,45,10,49,52,68,54,5,23,63,37,1,59,53,18,13,11,7,22,67,66,17,20,38,57,39,12,30,60,25,46,58,61,34,27,2,19,35,6,21,62,28,8,14,15,24,47,4,36,41,64,42,26,40,51,48,32,43
