# c-balanced Latin square
# n=49
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
15,36,34,6,30,49,21,10,23,38,11,44,16,13,5,47,18,39,28,25,40,37,35,26,2,19,27,45,32,22,41,42,17,20,24,31,1,8,9,4,43,48,46,33,7,14,29,3,12
16,25,17,8,33,3,32,28,19,22,29,35,46,24,48,36,7,31,43,14,9,44,6,39,12,18,4,42,10,15,47,26,30,38,13,49,37,34,20,5,1,2,11,27,40,23,41,45,21
17,31,15,5,37,4,45,43,47,48,12,38,42,26,21,11,9,22,32,20,1,33,2,7,30,49,46,23,40,24,3,16,44,29,41,18,39,27,35,14,6,25,34,10,8,28,36,19,13
18,35,25,1,2,6,39,20,30,13,40,37,14,27,12,49,41,29,48,45,28,23,38,19,10,11,8,31,5,47,34,7,21,4,9,36,15,33,24,22,46,42,3,32,44,43,16,17,26
19,34,7,9,23,44,40,27,8,26,32,24,41,39,47,25,15,10,13,46,36,16,42,3,22,43,37,17,21,35,14,28,45,33,2,11,6,30,5,38,18,12,1,29,20,48,49,4,31
20,41,42,10,49,29,11,21,36,14,47,28,34,31,43,38,33,8,2,3,45,18,4,17,5,24,1,19,44,6,27,48,25,46,12,26,16,37,13,32,7,23,30,22,9,39,40,15,35
26,27,3,43,7,46,12,19,33,15,18,4,5,22,9,30,1,37,35,17,6,49,13,20,29,16,34,39,48,38,8,31,32,28,40,10,44,23,41,47,45,21,36,25,14,2,11,42,24
22,40,12,38,35,24,44,48,16,6,2,3,25,1,32,45,4,23,11,39,10,14,41,31,9,15,21,7,36,18,13,43,20,42,27,30,26,29,8,17,49,47,28,19,5,46,37,33,34
23,28,45,37,36,14,42,39,13,1,48,49,30,17,8,44,46,24,5,21,34,29,32,6,27,47,20,26,22,33,9,2,11,19,3,40,31,4,25,12,15,35,10,41,43,16,7,38,18
33,47,16,30,18,32,20,5,46,31,7,29,15,43,36,19,28,26,21,42,12,35,40,25,11,48,38,4,41,49,10,45,37,22,23,14,34,39,2,9,24,8,17,13,6,1,27,44,3
21,49,2,39,41,13,8,9,25,34,35,11,10,16,4,6,40,15,22,38,18,27,44,28,14,37,3,32,23,46,30,24,29,17,5,1,42,7,19,43,33,26,48,36,45,31,12,20,47
24,13,9,11,3,31,26,2,29,8,37,20,44,7,23,41,27,33,17,47,19,43,39,34,45,42,35,1,25,5,12,36,49,15,16,6,46,48,10,18,28,14,38,40,22,4,21,30,32
43,4,5,28,19,34,6,18,22,45,17,36,1,42,38,10,14,12,24,40,30,48,46,41,26,13,31,2,15,11,7,3,33,44,47,20,32,25,21,49,39,27,37,16,29,35,8,23,9
27,33,38,15,48,16,10,37,14,12,21,23,31,40,3,35,25,32,20,4,7,8,49,36,47,30,28,9,24,29,39,17,1,41,43,2,18,45,22,44,11,6,5,34,42,13,26,46,19
30,6,46,40,1,42,27,7,11,44,39,32,45,34,49,21,29,13,47,2,26,9,16,5,33,22,17,12,43,37,19,23,18,35,4,8,38,31,14,15,48,20,24,3,41,36,25,28,10
32,14,44,22,29,25,41,47,43,17,28,46,24,48,26,18,3,5,31,19,15,11,23,38,20,10,6,8,16,30,35,21,42,9,36,34,12,13,40,1,27,33,4,7,49,37,39,2,45
35,8,1,20,9,26,4,23,24,41,49,33,19,15,13,2,16,48,36,7,37,22,18,12,25,44,42,40,45,34,6,27,14,39,10,21,28,46,29,3,32,11,31,47,30,38,43,5,17
37,10,36,47,17,45,38,35,31,30,4,19,27,12,39,46,42,6,33,34,8,5,3,21,43,29,49,14,2,20,28,32,26,13,25,24,11,22,16,7,41,18,40,15,23,9,48,1,44
29,18,39,23,5,21,2,25,3,32,22,16,43,14,11,9,38,28,45,10,44,13,31,1,15,46,7,41,33,40,4,8,48,36,6,37,49,19,47,34,30,17,26,12,35,42,20,24,27
48,12,11,26,13,28,15,40,34,42,20,47,6,5,22,7,37,1,49,41,25,30,17,4,24,36,39,27,18,44,31,9,46,32,38,45,3,35,43,16,23,10,21,2,19,29,14,8,33
45,3,10,34,44,18,49,24,12,40,36,9,35,33,30,20,8,27,16,43,14,1,48,2,32,28,19,21,11,13,38,47,7,23,29,5,17,26,4,42,37,31,25,39,46,41,6,22,15
46,19,8,31,43,17,7,33,38,5,6,41,2,21,29,4,45,40,39,18,35,42,37,10,23,27,47,48,26,25,16,12,15,14,1,22,30,24,36,20,9,28,32,44,13,49,3,34,11
42,16,14,49,27,15,31,30,1,29,13,25,28,46,37,32,36,44,23,26,20,6,24,9,19,35,11,3,17,10,22,34,41,40,18,39,48,12,33,8,21,45,2,5,4,7,38,47,43
41,2,32,7,24,22,28,42,48,11,26,8,39,47,17,14,23,9,12,13,3,38,33,46,40,34,45,37,4,21,15,30,5,43,20,25,27,44,49,19,29,1,35,6,36,18,10,31,16
38,20,35,21,25,36,43,45,37,23,3,18,22,10,19,48,30,34,29,27,47,4,15,44,39,7,16,5,6,1,2,49,31,8,17,41,33,9,32,46,40,13,42,11,12,24,28,26,14
39,1,6,19,4,33,46,17,21,9,44,5,26,2,35,15,49,41,8,11,31,32,36,14,16,12,43,29,42,3,24,13,28,47,7,23,10,20,27,48,38,34,22,30,25,40,45,18,37
47,11,4,12,10,30,34,16,15,7,27,40,13,18,31,43,24,20,42,28,33,45,25,22,49,26,9,36,38,48,46,44,35,2,37,19,14,3,23,6,5,41,29,1,32,8,17,21,39
40,9,37,3,6,23,48,14,27,25,10,34,49,20,24,1,31,2,38,32,29,21,19,30,17,41,18,22,12,8,26,5,39,45,11,42,36,15,28,13,4,16,33,43,47,44,46,35,7
36,22,13,41,8,39,29,44,28,47,16,42,11,38,45,12,17,43,3,5,46,40,7,35,37,4,23,10,31,32,33,1,6,21,49,15,2,18,34,25,14,19,20,24,26,27,30,9,48
49,26,30,33,46,35,5,32,20,18,24,15,7,8,6,34,39,21,14,44,17,2,28,45,48,1,25,13,47,9,43,40,19,27,31,16,4,41,42,10,36,3,23,38,37,11,22,12,29
31,5,43,27,32,37,3,36,4,19,1,12,23,9,25,16,11,35,30,48,22,41,26,42,18,38,33,46,39,14,29,20,10,34,28,13,7,40,17,24,47,44,8,45,21,15,2,49,6
44,17,29,45,14,40,19,26,10,2,38,21,48,41,28,13,47,46,25,15,23,39,20,8,6,5,24,34,7,27,42,11,22,30,33,35,43,1,37,31,12,49,9,18,16,3,32,36,4
34,7,21,2,16,47,9,22,6,33,43,14,4,36,44,42,10,18,37,1,49,12,27,11,3,8,40,30,28,23,17,25,38,24,26,32,29,5,45,39,35,46,15,48,31,20,19,13,41
28,15,48,18,20,11,1,41,39,35,31,17,29,3,40,5,26,7,4,36,24,34,47,13,21,2,32,44,49,19,45,37,16,12,46,9,8,6,38,30,22,43,27,14,10,33,23,25,42
25,23,24,42,38,12,13,8,49,46,45,30,37,32,27,33,22,19,6,9,16,10,43,29,31,14,15,20,35,41,36,18,4,3,48,44,47,21,11,26,2,7,39,17,28,34,1,40,5
