# c-balanced sequence
# n=66
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
33,65,13,56,20,37,27,23,2,66,52,57,42,15,14,43,5,48,30,64,62,34,40,36,32,9,19,10,35,11,60,21,51,59,45,7,54,31,12,28,6,26,58,55,8,61,3,38,4,29,39,24,50,16,49,25,17,18,53,41,44,47,1,22,46,63
34,29,48,66,4,13,63,20,9,53,24,21,50,2,49,31,61,28,17,27,41,56,38,37,22,15,7,62,47,55,26,42,1,64,52,43,44,46,57,3,18,23,16,11,39,45,25,10,54,35,32,12,30,40,59,8,19,36,58,6,5,60,65,14,33,51
35,33,45,44,11,32,59,7,12,46,38,40,26,22,1,29,10,39,36,19,16,51,25,52,60,18,8,30,58,53,41,57,4,6,27,9,65,5,50,49,61,13,66,34,37,42,14,48,63,20,55,3,2,64,47,54,31,28,21,15,23,62,17,56,43,24
36,5,64,30,10,60,25,61,43,47,57,16,58,55,54,62,21,6,24,42,15,23,53,14,31,39,12,3,59,2,63,32,49,33,20,29,28,48,35,4,17,8,7,56,9,51,22,19,44,13,1,65,46,41,26,50,37,52,45,38,18,40,34,66,27,11
37,3,58,65,23,54,14,1,50,27,49,63,44,41,64,51,45,8,11,18,4,5,46,66,17,20,13,34,28,40,39,52,30,19,22,26,31,62,43,32,55,33,24,25,38,36,59,47,21,2,7,56,35,15,6,60,29,53,48,61,9,10,16,42,12,57
38,19,18,57,17,42,26,52,48,31,59,28,6,56,12,33,2,53,35,61,9,7,21,43,10,47,11,29,50,5,24,37,66,40,55,1,16,36,30,51,14,60,62,15,46,58,65,49,27,34,41,8,20,22,23,45,39,3,54,64,32,13,63,4,25,44
39,9,14,26,49,51,19,62,55,8,3,4,29,25,34,60,46,20,32,22,48,47,1,13,45,54,65,6,16,56,38,27,17,15,23,44,24,42,21,10,63,53,31,37,41,12,11,40,66,64,57,59,61,58,18,33,2,43,50,28,35,30,36,5,52,7
40,2,15,24,43,50,35,16,36,41,7,32,56,11,30,13,25,37,59,33,58,8,44,57,63,53,64,28,45,9,61,34,12,54,21,3,39,60,38,18,65,66,52,23,27,5,26,4,31,14,22,49,29,51,48,42,46,62,19,10,47,55,6,20,17,1
41,12,21,22,5,47,30,4,42,10,61,62,46,65,36,23,15,17,31,55,52,29,66,60,1,51,44,27,49,20,25,18,2,48,58,57,63,64,7,45,56,35,54,19,43,32,50,39,6,33,24,28,16,14,9,13,53,34,26,11,3,37,38,40,59,8
46,31,66,63,64,6,18,28,53,45,34,48,10,54,35,27,52,43,38,39,14,3,7,49,16,33,40,37,4,19,22,36,26,8,25,13,41,59,62,11,9,29,50,2,17,20,57,30,47,5,42,44,12,1,60,23,55,24,32,65,56,51,61,15,21,58
56,27,17,59,2,1,44,13,58,9,45,23,5,20,38,63,11,16,12,40,26,24,65,62,50,55,3,42,51,33,32,14,10,60,35,34,61,37,47,19,39,36,21,8,6,28,18,15,53,54,48,43,66,52,30,57,7,31,25,22,29,4,64,46,49,41
52,7,61,28,15,8,29,22,54,65,19,51,47,17,24,32,44,57,66,60,50,6,59,42,26,21,41,58,31,48,55,30,18,5,43,11,49,53,20,40,46,12,13,64,63,4,1,56,62,38,37,45,25,36,34,3,35,16,9,23,2,27,14,33,39,10
53,11,20,4,39,62,3,33,25,40,18,60,43,48,37,21,9,49,34,41,19,36,12,30,35,57,6,14,10,64,23,7,28,56,47,45,46,15,2,1,24,61,27,22,55,16,52,59,29,51,17,58,31,38,32,65,8,63,44,66,54,42,50,26,13,5
55,23,8,25,42,16,34,24,56,37,30,27,14,13,39,50,58,47,64,1,22,15,2,63,4,5,61,66,46,54,65,29,31,51,38,52,9,6,17,44,41,32,3,10,26,33,7,60,35,36,18,19,53,43,21,40,20,11,12,49,28,57,45,59,48,62
49,32,51,50,36,21,57,12,29,38,64,33,35,31,7,45,26,3,53,5,2,18,11,28,46,56,25,43,13,52,62,1,59,20,16,42,4,66,23,34,54,58,14,48,44,47,40,8,65,63,9,61,39,10,27,41,15,22,17,19,6,24,37,30,60,55
54,20,37,60,9,65,58,63,26,55,44,35,59,6,66,14,32,41,62,29,10,43,48,38,40,23,24,39,17,15,12,8,61,53,2,19,27,13,22,33,16,42,30,49,25,57,45,21,50,28,11,7,18,5,64,1,4,51,36,31,46,56,3,52,34,47
48,6,40,10,57,61,11,46,5,4,1,17,30,28,52,18,59,22,42,13,21,54,27,8,9,19,34,7,44,47,45,3,65,36,41,32,35,50,55,25,31,51,64,29,62,15,24,14,37,58,23,26,60,56,53,38,12,66,63,33,20,43,49,39,2,16
47,16,41,43,34,66,15,31,64,24,51,2,49,53,55,19,7,56,28,23,45,20,30,33,36,52,60,57,38,18,11,63,39,21,17,50,58,40,48,37,3,4,59,5,1,46,61,12,22,32,13,10,6,27,25,62,42,65,8,26,14,29,9,44,35,54
1,13,38,27,58,12,36,42,3,32,10,15,39,62,25,4,8,61,46,16,65,44,35,31,49,37,26,54,63,22,9,66,43,14,33,51,30,29,56,53,57,5,6,28,11,60,55,34,17,59,20,52,21,50,2,24,47,40,7,48,64,41,18,45,23,19
59,45,19,33,18,14,2,60,7,52,21,47,22,50,40,20,64,5,63,24,34,39,17,56,55,29,16,53,62,27,49,48,25,37,12,6,23,8,65,26,38,10,43,35,31,9,66,42,41,44,3,36,4,54,46,51,57,13,1,30,61,11,28,58,15,32
43,28,3,48,29,22,9,6,13,23,26,8,12,42,61,65,54,40,58,57,66,1,32,51,11,14,4,59,41,35,50,2,24,44,10,15,47,18,27,60,7,45,46,36,52,39,63,20,64,30,49,5,55,19,62,56,25,33,37,16,38,34,31,21,53,17
63,30,46,52,62,56,49,38,19,17,5,11,45,51,44,53,36,33,15,37,25,41,10,6,61,58,31,21,1,7,29,60,55,57,28,64,20,26,9,12,8,34,39,32,40,2,54,23,3,42,16,35,48,24,4,43,59,14,47,18,50,66,13,27,65,22
44,25,35,23,24,31,39,66,14,60,46,41,16,57,9,3,37,27,26,30,17,62,50,47,48,32,36,20,64,42,13,40,22,34,4,54,2,52,49,59,21,18,56,53,65,19,38,51,10,43,6,33,11,45,29,58,28,61,15,5,63,7,55,8,1,12
50,10,7,54,63,53,64,21,20,2,29,65,34,1,11,42,38,55,4,51,59,13,19,18,43,8,15,56,12,30,16,33,45,3,24,62,5,28,61,66,47,48,17,58,23,22,41,25,26,27,31,46,37,49,14,52,44,32,6,57,40,39,60,35,36,9
4,26,5,32,35,27,55,40,18,49,36,37,61,33,58,48,31,60,52,47,12,14,22,34,25,28,51,9,23,3,46,64,6,11,39,65,7,43,41,15,50,19,57,24,13,56,44,16,1,45,8,29,17,63,66,10,30,38,2,59,21,53,54,62,42,20
57,17,39,16,44,28,43,65,59,1,6,13,7,18,8,56,24,29,20,49,38,27,45,21,2,46,35,5,32,66,10,53,52,58,31,36,14,19,63,42,30,40,33,4,54,34,62,11,55,15,47,64,23,9,12,37,50,60,3,51,25,22,48,41,26,61
62,22,34,55,45,30,50,47,11,33,48,54,3,21,15,28,66,10,9,43,64,40,26,23,53,42,63,19,25,61,59,44,41,16,46,37,12,1,58,14,35,49,38,60,20,17,31,2,7,39,65,51,57,8,13,6,27,56,52,4,36,32,5,24,18,29
51,8,56,31,37,25,23,41,15,12,42,9,19,60,10,6,62,14,2,54,36,52,4,39,65,38,17,48,24,57,21,5,47,29,26,22,55,11,32,13,20,27,1,61,66,3,53,28,18,40,50,63,59,44,33,34,49,45,35,43,58,16,46,7,30,64
58,24,12,53,41,46,5,8,61,63,50,66,32,29,2,16,35,51,18,7,28,60,57,20,3,13,1,33,39,6,17,56,27,49,30,59,38,45,4,64,43,25,44,42,21,48,37,36,52,9,62,54,22,47,31,11,26,23,55,34,15,65,19,10,14,40
64,14,36,47,59,20,4,27,30,22,58,52,38,26,43,49,13,19,45,6,32,55,37,7,44,62,50,40,11,34,31,54,23,9,63,8,33,51,24,46,28,65,15,18,16,35,29,5,61,60,21,2,1,3,39,17,48,41,10,42,53,12,57,25,56,66
61,15,11,1,3,52,48,17,35,39,43,53,40,23,5,57,34,65,21,56,31,42,9,54,66,10,47,55,26,58,51,20,62,13,18,60,25,44,16,36,22,37,41,45,59,30,6,33,24,12,38,14,32,28,7,19,64,46,29,27,8,49,2,63,50,4
65,18,29,49,19,33,32,45,57,16,25,14,24,27,59,41,30,1,44,3,46,63,5,15,64,12,22,2,60,37,4,38,42,7,61,53,21,10,54,31,23,55,26,51,50,8,43,13,48,56,66,34,40,20,35,36,9,58,39,62,17,52,47,11,28,6
42,21,9,13,40,7,10,37,44,62,31,55,36,4,47,17,39,50,48,11,53,33,16,24,41,27,45,18,8,43,28,15,35,32,66,56,57,34,6,29,52,2,63,12,14,64,49,58,46,19,25,30,26,65,61,5,22,54,20,60,1,59,23,51,3,38
60,66,2,6,38,26,54,51,34,28,56,20,64,63,46,22,12,23,25,8,35,61,58,29,59,30,49,52,65,14,36,19,50,1,48,40,17,3,39,5,62,11,9,47,7,10,27,32,57,4,53,15,41,42,16,55,18,21,24,13,45,44,33,43,31,37
