# c-balanced sequence
# n=92
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
25,83,66,79,82,12,34,21,89,32,57,85,61,1,63,30,62,84,17,46,76,9,65,56,52,80,44,54,40,20,18,73,39,28,42,38,26,10,36,86,64,4,14,67,92,43,11,16,69,8,13,22,77,7,68,5,33,78,29,27,19,60,74,47,87,71,31,75,53,3,59,45,55,6,41,50,91,23,24,81,58,35,72,90,37,70,88,49,48,15,51,2
26,59,84,91,67,13,53,87,19,68,23,40,20,51,14,16,72,32,24,4,80,12,75,6,78,61,71,29,46,41,92,3,49,81,50,31,66,22,15,85,7,88,35,62,48,56,5,76,9,2,86,37,58,42,17,89,90,18,39,30,55,82,65,1,69,36,73,70,77,64,60,25,54,47,21,11,79,38,34,43,27,33,45,28,52,8,74,57,44,10,83,63
27,57,86,58,39,52,22,15,38,9,50,3,11,34,5,31,45,33,48,73,21,59,69,47,20,36,2,68,88,35,60,74,82,70,24,63,90,84,8,77,12,71,29,43,25,23,30,55,65,79,91,10,81,54,64,46,49,28,1,61,44,83,80,6,72,62,85,13,67,32,17,14,78,87,76,37,51,19,42,16,92,56,7,26,41,75,4,18,66,53,40,89
28,54,78,75,44,64,81,10,6,47,43,35,90,66,7,76,70,60,55,18,14,16,89,37,79,1,5,13,8,42,17,4,65,31,61,41,46,33,91,92,11,32,19,83,27,72,51,53,85,87,24,26,40,52,63,45,86,2,57,3,50,59,56,58,23,38,82,15,21,22,20,74,88,77,73,49,67,62,84,48,36,9,69,25,71,39,29,12,34,30,68,80
29,56,69,1,80,51,41,42,72,77,73,62,10,49,45,25,15,82,88,63,91,2,39,67,92,76,58,87,83,57,23,26,37,9,30,18,21,19,17,54,74,66,28,59,70,13,89,40,84,50,34,31,44,71,33,75,60,38,7,14,36,11,79,48,12,4,53,5,90,27,46,85,52,68,55,8,61,47,35,3,22,81,86,20,43,24,32,65,6,64,16,78
30,51,36,4,16,90,65,61,55,59,48,71,38,68,74,49,52,89,29,23,8,47,87,24,83,21,19,85,64,32,39,67,7,86,6,34,53,35,78,27,73,20,40,77,5,3,22,46,60,70,45,14,15,56,80,12,9,62,88,92,43,25,37,84,81,33,41,26,44,75,66,28,42,69,54,82,63,11,57,2,18,79,10,17,31,91,72,1,13,58,76,50
31,62,53,11,45,54,9,2,18,86,20,78,26,12,41,80,40,17,81,85,92,50,33,3,65,66,27,63,28,22,75,84,79,38,44,43,76,48,49,4,57,61,16,10,58,64,68,82,47,36,1,67,6,72,8,32,25,52,21,69,88,35,13,51,34,24,39,29,42,30,7,19,91,37,5,90,89,71,70,73,56,59,15,87,55,83,14,23,60,77,46,74
32,69,6,19,14,7,72,5,91,58,60,77,82,8,22,43,79,46,56,83,35,25,13,48,44,86,50,70,34,26,15,59,11,71,12,75,88,47,87,55,2,39,42,63,81,24,17,21,1,37,30,74,53,41,29,90,57,16,66,20,89,54,10,73,78,68,18,40,76,49,80,23,33,9,31,3,28,65,51,64,52,85,27,84,38,36,92,67,4,62,61,45
33,64,71,3,13,79,76,88,4,24,46,84,74,67,57,27,9,38,92,37,30,42,60,36,28,29,40,73,14,10,91,51,55,25,62,89,80,45,68,52,69,90,49,56,12,20,18,35,32,78,11,75,61,23,81,31,87,34,85,47,15,65,43,77,63,70,66,86,72,83,44,6,1,48,59,2,41,16,58,19,8,17,50,39,53,21,22,26,82,7,54,5
34,68,23,8,85,1,63,37,65,70,89,28,39,21,83,87,54,18,78,53,61,57,15,66,41,43,90,74,6,81,58,5,52,77,16,84,36,82,67,44,72,51,22,31,80,50,38,73,7,71,19,59,76,48,55,4,26,79,56,45,46,2,17,14,3,64,91,27,69,92,35,24,13,62,30,10,40,32,86,49,12,60,47,75,20,25,11,88,29,9,33,42
35,66,52,12,40,27,20,17,11,49,44,30,75,59,50,73,26,2,22,24,42,64,19,85,32,7,54,82,56,33,45,31,1,72,14,23,69,29,3,65,60,10,89,9,47,41,91,28,6,25,18,21,62,51,39,83,58,92,55,76,86,13,53,5,61,8,79,16,88,71,84,15,38,36,34,46,4,68,77,74,70,67,78,57,80,81,63,48,37,43,87,90
36,2,73,10,15,56,46,75,16,67,76,80,17,31,48,91,61,47,7,3,71,5,55,26,62,81,39,69,49,38,64,78,68,74,87,4,8,86,92,59,53,23,79,13,33,37,85,63,34,42,43,88,60,77,30,27,70,54,84,12,29,90,32,9,50,52,45,14,20,11,82,58,57,65,22,83,25,44,21,1,40,89,51,6,24,28,18,66,19,41,72,35
37,86,25,47,89,21,18,29,43,52,14,42,72,58,81,34,6,16,13,90,51,4,10,1,88,57,9,77,11,60,30,41,66,20,46,54,32,70,24,83,80,62,36,15,84,75,65,67,48,64,17,5,3,22,35,38,44,82,8,28,49,33,40,26,19,7,87,74,2,68,91,50,63,53,12,27,39,55,61,78,69,23,92,59,76,56,45,31,79,71,85,73
38,55,70,48,53,92,82,90,74,33,24,87,19,88,44,28,84,12,69,58,62,77,79,45,8,22,23,51,65,21,50,63,61,35,2,59,27,85,40,18,25,1,78,76,29,91,86,71,39,66,68,73,9,89,13,20,37,11,42,36,83,64,72,75,31,6,17,41,57,4,56,47,67,43,80,81,52,60,26,46,34,14,54,16,5,30,3,7,49,32,15,10
39,84,77,60,55,83,5,3,45,54,81,25,63,32,43,41,11,68,23,27,20,72,35,17,34,49,52,4,7,76,80,53,36,19,15,28,12,13,79,31,21,30,6,46,69,61,16,26,92,14,90,40,57,78,56,74,50,73,10,48,71,18,85,24,67,22,89,51,59,87,1,9,70,75,86,58,42,29,37,66,33,64,88,8,62,82,2,44,47,91,65,38
40,78,67,88,31,61,26,32,50,64,22,1,6,33,29,4,14,66,75,86,65,70,59,68,71,9,91,16,37,89,44,85,83,73,5,51,57,39,42,43,58,56,17,82,7,87,19,2,8,41,10,52,49,79,24,47,15,77,80,46,81,38,23,30,62,60,74,36,63,28,76,3,18,92,84,72,45,48,54,13,35,11,53,27,34,90,25,55,12,21,69,20
