# c-balanced Latin square
# n=64
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
33,17,3,7,11,34,46,29,40,52,56,6,10,35,50,21,8,51,59,19,37,16,30,55,49,14,18,64,31,28,53,24,15,5,27,48,1,58,13,9,26,36,45,42,60,39,41,62,61,44,4,54,23,63,25,20,32,12,2,47,38,57,43,22
34,9,45,26,23,13,4,22,39,43,42,28,2,27,49,38,62,31,1,36,54,20,46,47,7,58,50,61,63,35,10,60,29,44,19,12,51,59,16,32,57,41,18,25,37,24,21,8,14,64,33,40,53,3,48,11,5,30,15,56,55,6,17,52
35,18,57,8,59,48,44,64,54,1,58,25,30,37,11,60,13,24,6,5,26,12,43,15,17,41,56,46,40,27,55,7,3,61,21,42,53,33,52,22,49,14,34,4,10,38,28,23,36,47,9,2,20,45,16,39,63,51,62,31,29,19,50,32
36,5,63,14,12,30,55,16,47,53,48,20,52,32,3,15,61,41,28,11,21,22,31,45,19,25,39,51,4,29,26,62,9,23,40,38,24,64,2,60,58,1,50,33,17,13,42,57,59,56,18,46,49,6,10,43,8,35,44,27,34,54,37,7
37,19,47,56,24,32,62,42,17,41,8,50,35,33,44,16,23,9,7,53,2,34,39,18,28,10,54,38,1,57,59,52,13,4,49,63,5,46,6,43,27,20,30,61,31,48,29,22,51,15,11,55,21,25,14,60,26,40,64,3,58,36,12,45
38,10,49,27,46,60,14,15,18,2,29,21,43,22,45,64,51,63,57,55,44,42,3,40,13,30,36,33,6,34,11,31,17,20,37,35,8,47,50,7,25,23,32,12,52,56,53,54,58,26,16,48,41,5,28,62,59,19,4,39,1,61,9,24
39,20,53,4,25,31,26,58,36,49,51,19,6,1,7,59,29,34,50,60,24,43,52,37,61,48,16,12,62,5,23,14,56,21,18,41,10,54,40,64,28,63,9,35,47,55,27,3,45,13,32,57,44,17,42,15,33,22,8,30,11,38,46,2
40,2,55,28,3,44,33,61,23,17,5,30,13,9,26,54,10,58,46,8,56,27,57,35,1,53,45,22,32,42,19,47,16,11,59,14,25,4,15,38,51,48,24,43,62,6,60,36,7,12,50,39,37,31,64,29,34,18,41,20,52,49,21,63
41,21,59,52,54,6,7,11,45,38,63,24,40,62,31,12,37,25,48,18,49,64,36,60,32,9,2,15,57,20,43,30,50,51,55,8,17,39,34,19,29,44,16,3,58,1,33,5,46,4,27,23,61,22,26,56,53,47,28,13,42,14,35,10
42,11,61,15,5,16,13,39,50,34,12,46,23,28,48,47,56,20,52,35,33,25,14,8,3,29,31,4,17,44,27,63,41,45,58,36,22,62,18,26,53,37,21,49,9,64,32,10,2,38,60,30,43,19,1,57,24,55,6,7,59,51,40,54
43,22,9,29,56,58,1,62,57,10,4,27,51,53,64,19,39,32,30,54,59,63,16,38,47,42,26,7,13,21,49,15,24,28,61,60,33,6,55,12,41,46,40,17,2,44,11,14,20,25,35,8,36,52,50,18,45,37,23,34,31,48,5,3
44,6,36,31,18,8,48,25,35,64,26,60,14,34,4,55,2,22,17,40,10,38,21,12,41,20,5,24,3,51,37,46,32,39,50,52,29,1,42,23,30,59,54,7,45,63,16,43,47,19,28,62,58,13,9,49,11,61,53,57,27,15,33,56
45,23,37,30,35,43,50,20,14,32,3,15,36,24,52,33,49,1,62,47,13,9,19,46,59,6,27,8,28,58,18,22,53,2,44,7,57,31,11,48,10,61,56,5,51,34,54,41,29,42,63,26,4,40,60,16,38,25,21,12,17,39,64,55
46,12,19,51,63,21,57,54,7,60,33,38,42,41,61,5,17,53,26,27,28,29,4,11,55,34,10,40,45,25,56,64,48,30,16,9,3,43,49,35,8,13,15,22,39,31,50,6,37,1,2,18,59,14,24,52,23,32,36,58,20,62,47,44
47,24,17,64,27,59,63,40,28,37,55,2,39,7,56,18,42,16,11,15,61,58,50,23,44,22,62,14,43,52,54,38,1,6,12,31,13,20,21,36,5,4,57,34,53,19,46,25,32,45,51,3,48,8,33,35,9,49,10,29,30,41,26,60
48,1,10,58,60,41,11,32,29,9,45,49,8,20,13,3,30,40,44,6,57,31,61,51,5,37,59,53,39,55,36,35,33,34,25,23,47,26,19,63,24,38,62,14,21,15,18,42,17,52,56,64,7,12,27,54,22,43,46,2,16,28,4,50
49,25,34,16,33,3,56,53,4,62,21,22,31,19,36,41,43,35,23,45,52,18,7,17,54,12,8,48,50,47,9,29,26,42,64,46,40,15,28,59,2,60,58,55,27,10,57,24,11,30,61,38,6,39,44,63,1,20,13,32,5,37,14,51
50,13,38,32,57,15,5,6,55,61,44,16,26,54,14,34,46,28,24,43,51,39,2,1,63,49,64,30,23,4,60,10,11,62,3,27,18,22,7,37,52,33,41,20,56,35,48,12,9,58,59,53,29,47,36,31,21,17,42,40,8,45,19,25
51,26,39,12,2,42,8,31,52,46,18,47,58,59,10,9,38,27,37,20,14,45,15,25,21,56,19,60,35,33,41,57,54,36,48,32,44,63,17,13,16,49,29,1,30,3,40,64,50,22,34,5,28,24,7,55,4,62,11,6,23,43,61,53
52,7,20,24,62,40,37,30,13,22,43,17,4,21,29,63,50,47,12,64,36,3,32,53,2,11,28,34,16,61,1,5,58,14,9,6,55,56,45,39,54,42,27,44,33,25,8,19,60,23,15,31,51,46,41,48,10,57,38,18,26,35,49,59
53,27,35,23,36,22,19,10,5,11,59,1,41,57,6,25,44,55,8,31,48,60,56,29,26,50,43,42,18,46,7,20,49,40,38,4,21,32,24,61,64,12,51,37,28,45,52,13,16,62,17,47,54,15,3,14,30,34,63,9,33,2,39,58
54,14,2,9,34,29,64,46,33,51,28,62,48,15,39,23,45,60,49,42,38,40,13,52,58,24,6,37,19,31,17,12,59,8,63,30,61,35,53,3,50,47,10,57,18,43,55,4,26,5,20,11,32,56,21,25,41,27,7,22,44,16,1,36
55,28,18,45,47,61,17,3,63,16,27,32,44,25,58,24,7,21,33,4,30,35,26,22,14,15,57,5,56,62,13,51,2,41,1,43,34,23,10,20,11,9,8,38,40,36,59,39,49,6,37,12,60,64,53,42,50,48,52,19,54,46,31,29
56,4,40,1,38,53,35,60,42,12,54,37,18,49,30,20,48,5,10,16,50,11,41,9,36,23,32,25,59,64,39,21,52,22,51,58,19,14,57,46,62,7,31,6,26,29,2,63,33,55,44,13,27,34,61,45,3,15,24,43,47,17,8,28
57,29,41,48,19,52,36,43,59,6,50,13,61,47,8,22,11,64,3,63,62,55,33,34,31,7,17,44,10,53,45,16,27,46,15,39,2,60,25,4,14,28,26,54,42,49,23,38,35,24,21,1,9,18,32,51,12,58,5,37,56,40,30,20
58,15,21,44,26,14,24,49,8,39,31,9,3,12,51,1,6,19,2,32,46,37,28,27,43,61,47,20,54,38,30,42,55,29,33,45,52,36,5,40,18,17,53,48,16,7,62,56,34,10,41,25,63,57,59,13,64,60,35,50,4,22,11,23
59,30,33,25,10,28,23,34,56,20,7,64,5,16,42,62,4,18,58,41,17,53,54,57,40,60,13,27,49,12,63,44,47,35,24,11,37,48,29,1,32,19,36,50,61,22,9,51,31,8,46,45,26,38,43,6,2,39,14,55,3,21,52,15
60,8,11,46,39,9,27,38,26,25,14,29,63,55,40,32,52,36,51,21,1,6,20,24,45,35,3,41,22,48,50,23,43,56,13,28,59,12,30,31,15,34,2,64,4,5,17,44,18,54,7,33,19,62,58,37,47,16,49,61,53,10,42,57
61,31,5,17,7,54,45,2,15,19,35,34,56,50,43,53,57,13,39,22,23,47,44,64,18,33,55,9,26,8,6,4,37,60,10,62,49,38,51,58,21,3,52,63,24,14,30,1,27,40,36,16,42,11,20,28,46,29,59,25,41,32,48,12
62,16,42,50,37,51,12,1,58,30,57,53,11,38,2,35,26,14,29,25,7,59,49,48,4,46,63,21,36,15,3,34,19,31,5,20,64,9,8,56,6,22,23,13,41,32,47,61,28,43,39,52,10,55,40,17,44,54,33,45,60,24,18,27
63,32,43,6,20,55,18,21,48,24,23,10,33,60,27,28,31,54,9,34,19,8,42,30,16,51,52,58,11,14,40,61,25,57,17,26,50,41,44,47,45,35,39,59,46,12,37,15,53,3,29,49,22,2,4,5,36,56,1,64,62,7,13,38
64,3,22,13,49,4,47,41,44,36,40,52,45,46,17,37,59,15,61,56,12,5,10,62,39,38,1,29,2,24,32,28,18,7,53,54,42,16,27,33,55,43,25,60,11,20,58,21,48,57,14,50,35,30,23,8,19,31,26,51,63,9,6,34
