# c-balanced sequence
# n=98
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
28,84,79,20,71,59,9,22,57,89,55,40,14,72,62,56,50,43,75,53,29,74,45,88,7,38,18,4,23,78,13,36,94,54,81,10,34,77,21,93,83,69,30,8,26,24,58,1,46,6,15,98,68,47,66,82,96,27,33,86,80,42,70,44,49,17,87,12,90,35,63,41,48,37,31,61,85,76,73,19,64,91,60,67,11,51,39,5,3,95,92,65,2,25,16,97,52,32
29,86,97,77,70,10,47,85,41,31,48,4,21,79,49,68,95,73,15,69,26,30,5,84,90,1,19,61,81,11,55,44,24,92,25,98,52,45,16,38,87,20,46,82,9,80,35,51,13,65,36,88,60,17,23,91,53,32,37,64,2,67,76,39,50,89,75,3,22,7,8,40,78,96,43,63,71,83,18,74,57,6,94,58,28,66,93,72,34,59,54,56,12,33,62,27,42,14
37,53,39,52,60,54,13,18,35,32,63,91,92,76,78,6,59,42,19,34,43,93,66,3,87,82,28,8,27,49,30,17,83,71,64,67,89,96,12,2,7,57,33,75,85,50,22,95,72,74,68,40,94,62,16,55,10,44,14,1,51,65,20,77,58,79,45,97,5,56,46,9,25,80,98,86,88,47,24,69,23,15,21,31,90,81,70,11,29,4,36,26,41,48,73,38,61,84
31,72,94,21,66,38,5,2,50,10,12,69,65,81,46,63,41,96,88,86,83,80,24,40,16,97,9,57,67,61,58,37,4,14,33,39,74,79,84,48,26,43,77,73,70,28,3,90,27,32,56,42,34,25,71,93,11,85,19,18,92,36,54,23,62,59,98,29,47,6,1,52,64,30,44,51,17,53,95,76,89,78,8,35,22,55,13,82,75,7,45,49,60,68,87,20,15,91
68,88,36,51,87,15,45,1,67,30,56,95,47,90,75,52,44,58,70,35,17,11,14,20,48,91,33,98,65,25,50,38,62,22,2,3,23,46,53,63,72,76,64,37,55,34,41,31,54,5,59,89,39,73,7,8,13,86,6,61,24,78,28,21,60,96,43,81,57,26,16,82,83,4,27,49,29,10,32,84,66,12,92,42,79,69,77,9,40,97,93,80,19,18,85,74,71,94
33,74,23,11,89,93,92,7,8,71,6,98,61,57,80,22,16,27,77,13,12,18,54,82,29,76,64,86,60,51,21,42,73,97,19,90,56,94,85,44,24,78,15,66,32,17,49,38,87,4,2,14,84,81,75,69,67,95,45,50,55,35,9,5,53,40,91,25,68,28,48,20,62,79,70,3,41,26,1,36,59,43,72,34,52,37,65,88,58,63,96,83,31,39,46,30,47,10
43,62,83,64,73,4,26,78,45,25,49,23,84,19,1,20,82,9,39,3,55,59,77,70,28,85,72,34,32,93,31,53,6,10,29,8,95,40,60,36,80,65,96,81,97,68,44,18,47,63,48,41,22,52,58,79,46,30,12,42,11,7,92,88,13,74,69,61,71,66,15,37,54,38,91,16,90,75,94,5,87,57,89,56,50,33,2,35,24,14,67,86,17,27,76,51,21,98
40,94,24,14,46,11,91,98,92,42,69,5,27,96,66,54,17,7,38,71,2,79,55,15,37,52,47,36,88,35,41,26,87,61,9,75,81,28,58,1,13,50,67,86,74,93,16,89,20,21,30,6,51,49,65,59,70,31,83,57,43,56,90,48,68,80,72,76,10,84,73,97,33,34,60,19,22,8,39,63,18,85,82,29,44,64,32,62,23,25,3,4,53,95,12,78,45,77
35,76,81,41,58,68,57,95,60,82,37,79,75,31,30,53,62,65,85,4,89,97,56,10,12,21,44,6,39,63,43,48,74,47,18,91,5,51,92,25,34,27,59,98,71,69,33,83,45,40,86,8,9,78,19,26,72,29,87,94,46,17,84,3,32,66,93,23,77,67,64,11,42,24,2,14,54,50,96,16,49,55,38,20,80,73,36,70,15,52,61,7,90,1,13,22,88,28
36,93,80,59,67,3,50,28,72,34,13,87,16,32,86,18,84,51,45,64,22,25,49,8,42,78,66,94,73,68,20,90,7,69,89,54,70,57,88,62,14,52,35,61,23,53,56,19,29,43,77,82,76,4,60,1,27,33,75,21,38,96,85,63,15,2,95,83,12,24,39,55,58,10,9,40,47,46,92,31,71,97,65,81,30,26,74,91,98,44,48,11,37,79,17,5,6,41
