# c-balanced sequence
# n=74
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
58,5,55,17,20,52,13,35,9,4,70,50,8,62,34,3,30,33,14,54,10,63,51,60,61,69,46,57,68,24,38,18,29,45,44,21,16,19,36,59,64,66,37,42,1,7,26,49,27,56,31,12,72,25,28,6,23,67,39,15,22,40,71,48,2,41,74,11,47,32,43,53,73,65
54,15,51,27,39,25,23,37,63,38,36,40,30,71,22,59,48,45,1,66,29,47,43,73,4,28,53,13,52,41,20,11,12,5,2,31,46,6,57,3,49,67,19,69,55,60,32,61,65,74,62,44,10,24,18,9,56,58,8,70,64,72,14,16,33,68,50,7,34,17,42,21,26,35
56,16,65,66,43,67,29,12,68,71,24,7,6,11,69,49,64,61,44,38,74,18,22,26,8,36,42,2,34,9,17,15,10,50,30,3,72,25,70,1,47,33,21,63,58,32,53,51,41,73,14,59,23,52,40,46,60,35,28,20,31,4,45,62,13,54,27,48,5,57,19,39,55,37
53,21,46,32,26,31,60,40,35,62,17,55,10,72,70,73,41,56,28,42,37,57,59,16,74,23,6,58,45,48,19,33,39,36,7,52,65,27,64,8,14,68,44,43,20,34,11,54,71,3,13,51,5,2,63,12,4,1,61,50,30,18,67,49,24,47,15,29,66,9,38,25,69,22
57,7,15,47,28,45,68,69,20,1,13,5,2,14,25,18,4,49,21,19,27,60,33,58,35,50,67,70,40,63,62,37,51,32,41,54,9,55,24,61,38,48,22,12,65,30,66,46,31,39,64,6,29,34,11,53,16,42,3,73,74,56,43,8,52,17,26,36,10,44,23,59,71,72
52,8,10,33,2,3,50,59,66,61,22,43,54,44,24,29,34,63,64,5,12,53,13,39,30,47,1,11,72,69,31,16,4,56,23,25,62,71,73,15,45,26,28,74,9,17,57,70,42,48,27,35,38,58,36,20,14,32,21,49,60,37,55,65,67,7,19,41,68,6,46,18,51,40
51,19,16,31,9,34,6,42,48,27,41,18,46,73,23,36,55,58,71,17,15,26,32,14,65,38,20,44,5,74,24,59,7,21,28,49,40,56,69,35,60,13,2,52,10,25,67,29,1,37,68,8,50,43,39,22,47,72,64,33,66,62,57,70,12,11,63,4,53,3,30,45,61,54
64,11,38,67,74,50,72,61,39,53,30,49,37,52,65,12,47,40,35,70,25,55,62,7,48,54,68,10,51,4,22,1,46,3,8,42,66,29,20,33,18,57,6,45,59,63,71,44,43,19,26,9,36,41,17,24,21,15,13,32,28,27,2,23,73,31,60,69,16,58,34,5,56,14
73,65,13,30,23,58,9,71,41,26,20,4,32,21,39,45,8,6,67,57,68,36,56,69,29,19,64,3,66,54,14,60,27,11,43,63,22,37,10,34,31,16,55,17,5,62,59,2,72,35,7,15,18,49,74,25,51,44,48,53,61,42,1,46,47,28,70,38,40,24,50,12,52,33
70,1,44,60,63,56,34,62,43,7,33,31,57,42,35,51,28,46,11,52,59,2,40,24,17,15,61,18,23,49,12,71,58,68,47,48,67,53,38,5,30,65,72,41,19,50,14,21,4,54,16,66,69,9,73,27,45,37,29,55,6,25,22,3,39,74,20,13,26,8,10,32,36,64
55,22,5,24,29,4,45,14,36,28,27,74,69,3,19,38,33,37,72,8,9,16,10,21,42,66,25,43,31,26,53,50,13,70,57,6,44,39,51,32,73,46,58,23,64,47,15,68,62,20,60,30,40,12,56,54,61,52,34,41,7,17,11,18,71,2,59,1,35,49,63,65,48,67
71,18,6,25,59,17,2,46,22,12,64,15,24,66,47,16,53,54,48,50,43,41,27,1,63,73,35,49,32,30,44,55,20,34,72,14,28,61,74,11,7,52,40,39,56,8,38,36,13,33,42,3,67,65,69,68,26,70,23,37,9,5,10,31,57,62,58,45,60,4,29,51,19,21
49,32,40,68,62,37,54,63,17,69,21,56,58,74,10,13,20,5,51,61,23,11,29,34,67,60,45,41,53,2,52,73,6,64,65,26,19,12,50,9,36,70,1,27,3,4,31,24,28,46,18,48,55,8,38,57,71,59,16,35,43,33,39,14,44,30,72,25,15,7,22,66,42,47
61,47,48,73,14,42,57,3,44,8,72,52,67,15,9,26,1,60,30,20,22,39,31,70,71,37,7,36,59,62,40,65,38,33,4,45,2,18,16,21,29,43,35,25,24,49,10,11,53,51,23,34,19,6,66,5,64,46,54,58,63,50,69,17,55,32,12,68,41,13,56,28,74,27
66,25,39,35,11,12,19,4,23,49,10,16,65,36,68,67,50,7,55,32,3,46,72,28,64,58,57,9,22,27,51,41,54,18,60,74,17,15,14,13,56,42,47,48,37,69,40,33,5,44,45,2,63,21,1,31,8,73,30,62,59,24,34,26,29,38,6,52,20,43,61,71,53,70
43,30,41,8,51,27,26,53,56,45,34,44,70,59,31,62,17,38,18,33,24,6,42,25,13,5,52,48,46,61,29,47,28,1,35,68,69,21,63,66,58,39,7,67,71,12,73,3,22,57,55,4,32,14,60,2,74,20,10,19,36,23,64,15,72,49,65,54,37,50,40,16,11,9
28,33,20,64,5,69,10,38,13,40,19,63,29,50,60,2,14,43,12,56,21,71,15,6,53,34,8,74,55,37,16,70,24,25,66,9,23,59,62,27,41,54,49,30,26,51,1,17,32,61,72,52,39,46,48,58,65,22,47,4,11,35,68,7,45,36,18,3,42,67,44,73,57,31
29,36,21,18,7,1,74,58,55,54,35,3,45,26,48,52,9,65,23,49,13,73,4,57,11,2,30,69,67,10,39,32,44,22,12,20,8,31,72,68,19,50,38,34,6,61,42,16,63,70,43,25,64,47,71,59,41,33,60,51,40,15,53,56,37,5,46,66,27,28,14,17,62,24
72,24,59,70,15,61,7,16,31,57,73,71,22,40,4,37,32,66,27,62,44,54,35,47,68,51,14,17,19,33,34,36,42,63,46,5,58,3,30,55,53,69,64,11,60,45,65,74,67,29,41,56,28,20,50,49,13,6,12,18,26,52,38,25,21,1,23,9,2,48,39,10,8,43
68,60,2,42,38,46,65,64,50,6,39,66,25,18,63,61,11,16,41,47,28,58,74,45,12,26,40,21,20,56,5,43,17,15,59,13,57,48,52,23,71,8,14,73,44,54,7,37,9,10,36,53,31,35,72,30,62,24,27,1,3,70,32,4,19,69,67,22,51,33,55,49,34,29
67,27,9,37,53,48,33,51,52,47,32,14,34,41,30,72,19,73,3,2,69,1,8,36,10,70,39,50,38,64,7,23,31,49,29,56,24,60,4,46,40,74,18,62,22,28,55,25,26,66,71,11,45,16,44,15,17,43,5,68,65,54,20,63,59,42,61,57,21,12,35,13,58,6
62,17,56,13,6,20,43,1,11,46,68,23,12,5,49,44,22,59,4,63,51,65,66,55,3,31,24,54,71,25,45,48,26,61,10,38,36,35,42,67,37,15,32,33,21,27,19,39,47,69,58,57,7,70,29,34,28,40,14,2,8,73,30,9,64,50,53,16,74,52,72,41,60,18
69,31,54,52,55,39,21,8,29,60,67,62,17,28,58,57,42,15,74,26,14,30,37,50,41,27,72,63,6,18,35,9,2,40,16,73,70,34,49,22,12,3,24,66,53,43,23,20,64,59,65,1,13,33,4,19,36,7,25,45,71,47,61,51,10,48,44,56,32,11,5,46,38,68
45,34,58,49,44,71,36,5,70,25,48,61,20,1,43,46,35,24,10,53,64,19,9,38,33,16,29,73,60,11,57,68,30,37,51,32,7,47,65,6,28,59,4,13,72,2,18,50,8,15,40,17,74,26,67,52,39,56,66,42,21,12,41,27,22,14,55,31,62,69,54,3,23,63
74,12,14,19,40,32,47,28,18,59,11,9,53,27,64,56,39,29,31,45,7,17,20,23,43,22,4,65,42,13,3,72,67,52,62,50,41,54,44,26,10,5,51,16,70,46,58,34,30,6,21,24,68,37,61,55,63,38,69,57,48,49,60,66,35,8,33,71,73,36,1,2,25,15
63,4,23,22,16,35,73,15,72,65,2,51,33,7,8,71,69,36,68,34,40,48,52,18,46,32,59,12,1,58,66,21,14,53,27,55,64,43,45,25,17,61,31,57,29,41,56,60,38,49,5,54,62,42,10,3,11,9,50,67,44,13,74,28,6,24,39,19,70,47,26,37,20,30
50,26,3,57,10,41,66,24,30,37,42,38,13,55,54,6,21,70,25,60,67,5,61,49,44,62,56,28,15,47,8,74,69,19,71,39,33,11,1,2,20,63,9,68,36,35,48,52,14,12,73,22,27,51,23,32,18,53,31,72,46,16,29,58,43,40,34,17,65,64,45,7,4,59
