# c-balanced Latin square
# n=102
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
25,88,34,5,84,52,65,11,43,35,48,97,2,8,82,68,22,37,60,4,1,74,62,36,39,92,51,77,21,75,33,45,42,20,12,99,79,95,54,53,38,47,85,102,28,9,27,80,93,81,87,91,72,59,19,50,13,23,73,18,40,101,55,17,6,3,76,98,96,10,24,15,61,71,66,67,89,56,64,32,7,14,29,16,44,100,49,94,46,31,30,86,70,90,26,83,41,63,69,57,78,58
26,83,97,39,80,30,72,79,63,17,32,46,23,21,57,53,38,29,28,98,64,3,59,34,96,15,86,68,88,44,101,16,49,93,14,75,58,78,67,22,52,37,92,70,60,69,31,40,6,76,94,77,1,13,41,47,81,90,100,10,99,61,7,45,2,62,5,71,74,35,33,51,25,11,4,65,85,18,8,91,50,19,12,56,43,42,55,27,20,9,89,102,87,36,73,84,48,24,82,54,95,66
27,85,73,61,70,4,12,7,36,69,94,25,102,13,14,71,41,40,42,6,9,54,84,32,56,19,65,74,18,100,38,5,91,66,26,89,35,90,49,23,11,68,16,82,50,55,46,24,62,88,48,8,10,22,44,20,92,79,86,95,51,60,83,87,33,34,29,64,43,1,17,58,47,93,30,31,21,81,37,57,76,3,59,72,28,80,63,78,67,98,53,77,52,97,96,99,75,101,2,45,15,39
28,93,42,59,78,50,19,24,37,20,45,67,51,81,4,77,62,66,33,72,55,101,21,90,47,70,43,8,10,99,2,95,39,73,80,1,71,30,17,87,31,40,98,76,12,96,64,26,18,53,58,46,25,57,63,3,56,11,16,54,97,15,27,48,91,75,68,84,9,89,69,36,102,52,34,100,82,38,14,83,44,74,6,60,23,79,61,22,88,32,29,41,5,94,13,7,35,92,65,49,85,86
29,49,45,57,11,14,86,87,100,82,15,60,89,98,36,35,31,46,79,52,75,67,53,22,99,33,91,44,102,64,23,58,48,97,63,43,34,13,72,28,20,94,3,59,61,7,2,32,65,83,101,74,41,42,96,6,9,24,80,5,37,77,78,70,66,30,85,90,39,92,73,95,8,88,25,26,69,12,93,4,55,27,51,71,54,47,84,1,17,10,21,68,16,19,56,40,50,18,38,81,76,62
54,1,47,66,9,56,78,96,74,8,83,44,99,30,16,18,3,5,63,92,95,68,88,17,25,61,80,57,26,81,76,60,41,27,65,6,69,85,82,62,7,15,93,10,49,91,21,89,39,71,51,43,29,100,84,64,52,55,53,14,35,4,13,19,38,22,72,50,86,40,75,32,37,98,12,45,73,24,94,58,36,2,70,42,101,97,87,33,48,34,20,90,79,46,59,67,28,77,23,31,11,102
31,81,69,90,13,12,17,40,22,56,76,101,58,87,10,75,100,23,2,54,24,51,38,50,85,55,1,35,27,47,42,37,94,102,79,77,5,19,11,60,83,70,86,72,33,48,84,98,34,73,61,97,4,28,45,32,89,68,67,36,7,20,49,26,29,71,96,46,82,63,53,78,18,99,62,59,64,91,41,25,39,65,21,9,95,92,74,8,30,15,80,43,66,44,88,57,3,16,14,93,52,6
32,62,38,95,94,55,39,6,48,59,41,3,64,91,73,92,15,43,34,16,86,71,46,97,20,77,67,7,93,78,96,53,50,29,84,44,9,4,52,74,14,36,58,25,21,75,19,88,56,90,18,5,80,66,81,102,30,8,17,33,65,89,82,12,42,57,79,60,54,31,23,22,27,2,76,1,28,63,35,101,10,45,40,68,83,99,13,47,11,85,37,24,49,100,72,51,69,61,98,70,87,26
33,71,88,20,72,2,26,84,99,93,61,98,11,63,52,8,82,21,32,30,80,40,10,89,49,83,18,79,12,14,70,31,25,28,92,101,36,3,57,24,45,35,65,67,87,22,37,1,23,68,9,27,54,86,95,69,38,62,85,94,76,59,97,41,51,47,43,16,48,77,44,100,19,74,13,7,46,6,53,90,66,75,102,17,81,39,15,58,4,50,56,29,73,55,34,78,96,5,91,64,42,60
34,65,102,19,68,85,27,21,51,47,58,77,42,53,79,76,60,70,13,74,49,6,37,29,94,81,69,52,73,45,72,24,4,15,46,90,16,41,59,8,18,100,17,43,64,66,95,78,99,35,44,14,23,50,92,98,12,39,31,101,75,87,2,91,93,11,80,26,28,56,67,5,38,3,40,55,97,61,1,20,88,96,22,48,82,36,86,57,54,62,71,32,84,63,10,9,30,7,25,83,33,89
35,101,28,22,89,5,3,23,64,57,97,90,86,50,78,66,25,59,39,44,7,100,96,11,82,4,30,87,9,61,36,62,85,98,48,55,68,56,73,75,91,71,2,54,42,51,38,29,26,63,69,47,15,34,10,99,46,60,40,70,83,1,84,16,88,20,102,32,18,6,49,52,81,43,24,17,33,67,72,80,92,13,94,93,77,45,65,31,53,19,79,27,37,14,95,21,76,8,41,58,74,12
36,92,18,14,48,62,43,60,81,98,80,17,24,7,84,95,65,19,88,67,91,26,28,63,45,97,54,41,5,56,1,32,10,83,51,37,40,66,102,33,55,27,12,39,31,13,16,20,11,74,6,42,79,53,78,57,93,71,96,77,3,21,58,94,25,8,61,72,87,4,30,85,70,15,89,50,9,59,68,34,73,49,86,46,29,76,64,52,69,38,35,101,82,23,22,47,44,99,75,2,90,100
46,73,16,4,52,1,53,44,29,77,75,68,49,70,12,96,93,61,9,47,102,69,99,33,86,64,58,31,101,40,63,87,34,21,57,38,50,6,76,89,94,13,78,22,81,100,30,17,82,8,19,59,48,65,67,55,74,72,2,45,88,24,79,90,56,15,23,27,37,66,41,35,91,7,14,95,54,83,85,84,98,32,60,3,5,62,43,10,25,28,26,42,39,51,92,18,11,36,97,71,80,20
38,74,15,37,10,83,75,82,41,25,26,33,79,20,45,67,27,72,55,35,85,90,56,8,59,76,2,34,71,19,91,11,13,88,22,93,14,23,84,30,86,95,80,47,92,32,62,54,50,60,3,52,39,7,58,97,73,29,49,43,9,28,98,64,5,99,100,36,69,51,21,68,101,96,44,42,57,65,78,66,77,87,18,31,89,70,12,16,63,40,6,61,1,24,94,102,81,48,4,17,46,53
30,67,54,7,100,66,8,18,80,9,92,87,31,57,94,6,39,69,1,17,15,65,78,3,12,13,42,46,23,53,48,99,20,43,28,32,51,97,29,77,61,90,49,96,5,40,101,10,70,89,25,36,24,76,33,14,85,4,82,63,102,22,44,52,35,19,86,62,81,71,83,60,34,56,47,84,27,79,11,26,21,16,37,58,98,2,41,93,75,45,91,73,59,74,64,55,38,95,88,50,72,68
40,64,2,50,76,71,63,5,13,70,4,95,100,43,88,38,24,51,41,11,62,36,58,68,73,66,27,16,59,22,89,35,74,47,52,60,18,98,7,26,81,79,44,1,46,83,94,72,102,77,84,21,93,37,31,91,80,61,75,90,42,92,23,34,65,17,78,10,53,33,14,45,48,6,29,86,39,82,99,30,69,55,15,20,25,56,8,9,49,97,87,57,67,28,12,54,85,32,96,3,19,101
55,51,82,21,37,6,58,85,89,91,14,102,29,72,32,48,34,83,97,101,20,23,42,44,93,74,10,84,39,98,17,86,9,3,96,24,25,15,12,45,88,69,38,8,56,73,57,53,2,28,41,49,75,16,87,26,11,47,30,64,50,95,68,18,54,40,67,52,70,99,79,59,13,92,46,60,77,100,76,31,19,36,63,80,61,78,81,71,33,90,22,7,4,65,5,1,66,62,35,43,27,94
42,69,49,79,16,31,61,19,94,50,78,96,52,35,81,56,28,87,22,75,53,83,2,77,95,90,46,21,45,60,92,100,68,65,59,33,54,62,80,37,64,66,101,99,85,4,3,43,15,7,67,17,11,71,1,27,39,25,5,88,6,41,32,36,76,63,74,12,93,58,55,98,97,72,73,20,8,57,47,48,23,26,38,30,24,14,51,102,84,44,13,9,18,40,89,29,82,34,86,10,91,70
45,70,11,12,91,24,99,102,32,30,65,40,10,47,28,54,86,71,84,89,25,29,5,98,43,57,72,14,6,8,80,82,36,19,76,26,81,27,20,1,21,97,63,33,9,68,58,34,31,13,64,4,56,62,18,77,48,22,78,44,66,69,85,46,55,101,73,39,38,75,94,50,74,61,53,87,90,49,51,17,95,67,41,35,7,96,23,88,60,42,3,83,2,93,52,15,79,100,37,16,59,92
44,60,27,17,23,3,84,34,86,7,46,26,59,39,41,101,42,63,64,85,93,4,73,16,92,18,38,62,49,55,54,88,71,75,70,30,61,82,87,67,5,48,57,53,19,52,65,36,79,100,95,20,94,35,12,28,83,15,51,37,74,81,96,10,9,24,13,22,29,91,25,90,11,31,21,32,102,58,40,2,43,72,1,97,99,66,6,68,89,76,50,47,69,98,14,80,78,33,77,8,45,56
97,56,9,96,74,25,51,36,33,1,73,55,15,23,18,90,80,68,94,14,60,81,76,31,48,50,79,32,66,37,12,77,69,78,7,95,29,99,58,38,2,6,102,24,41,35,93,47,61,91,45,98,70,8,40,46,19,59,43,26,13,72,86,100,82,89,83,92,65,57,4,88,64,62,16,71,10,3,44,42,27,63,85,52,11,28,21,34,101,30,5,53,75,20,67,17,49,39,87,22,84,54
47,77,99,98,101,61,22,20,97,88,53,5,62,37,2,74,49,13,78,8,52,57,91,35,15,75,9,11,82,85,67,44,102,41,100,40,10,72,34,39,50,83,59,17,18,90,86,92,87,66,21,55,96,60,51,63,3,16,84,32,89,68,80,33,14,1,27,95,56,42,76,46,69,12,93,30,19,23,29,45,28,71,54,79,70,38,4,24,94,48,64,36,81,31,43,58,26,6,7,25,65,73
43,72,76,87,67,90,54,35,45,46,88,21,93,36,95,17,29,26,10,58,27,19,39,30,24,40,28,65,20,3,25,1,73,56,64,53,63,42,31,44,16,4,84,89,11,71,23,14,81,22,78,79,5,68,69,49,6,101,70,97,38,47,48,62,8,77,7,94,66,34,102,2,9,80,37,85,18,52,83,50,75,100,33,57,92,32,91,59,15,55,12,82,86,96,60,41,13,74,51,98,61,99
48,63,13,8,93,57,92,68,38,14,16,6,22,69,83,30,66,77,12,100,59,43,79,87,102,60,52,89,96,7,51,33,2,4,49,71,91,70,94,32,85,75,42,74,55,28,98,76,80,86,50,54,82,72,9,36,65,20,58,34,25,99,67,61,40,31,97,45,17,3,39,84,15,26,41,35,24,95,101,53,5,81,56,64,73,18,44,46,1,37,11,78,88,62,27,10,19,23,90,21,47,29
58,89,81,84,65,32,33,95,31,4,34,71,44,19,6,3,101,98,38,5,50,61,80,47,1,26,62,92,94,83,64,97,18,67,23,35,56,11,46,43,25,41,51,30,14,15,45,27,12,24,37,99,57,73,29,90,7,100,10,52,21,91,53,60,49,28,59,87,2,86,78,20,54,36,75,22,17,88,70,96,74,82,93,40,69,13,39,72,85,79,66,8,76,77,42,68,16,102,9,48,55,63
41,75,86,78,2,39,64,28,9,73,27,66,76,11,13,40,7,55,48,18,82,37,69,72,70,24,53,100,99,68,95,90,21,22,87,74,17,47,79,101,96,3,54,77,20,60,88,63,10,6,85,29,42,92,102,33,8,50,56,57,23,30,93,71,81,67,44,15,19,43,61,49,5,1,38,51,94,98,62,16,89,12,91,4,52,84,59,26,35,80,97,14,65,58,25,45,46,83,32,34,31,36
52,53,94,80,15,59,83,10,23,49,12,79,54,82,25,85,99,91,45,96,31,70,34,21,84,51,36,56,78,29,5,46,55,81,58,13,39,8,93,61,9,19,37,62,69,26,74,97,75,65,47,32,66,88,2,38,35,1,41,17,73,76,16,98,11,42,18,48,68,64,7,89,90,27,92,63,43,4,22,33,14,86,50,101,102,87,67,77,72,3,95,60,100,6,28,20,40,71,24,30,44,57
59,26,68,100,19,29,42,52,71,62,24,16,60,46,61,1,102,65,57,33,89,22,63,20,67,6,88,17,50,15,43,34,27,14,72,45,86,5,92,36,98,91,76,23,32,78,77,82,48,51,40,64,30,44,101,94,4,13,95,12,87,54,31,39,3,35,84,85,58,96,80,83,28,55,79,81,7,66,25,9,97,10,8,90,47,75,37,69,2,41,74,99,21,11,93,70,56,73,53,38,49,18
66,98,87,86,40,77,35,8,21,3,85,37,74,75,55,42,20,53,56,2,90,41,32,25,11,101,44,28,97,38,4,96,30,84,47,80,73,88,48,10,22,7,27,95,36,49,67,9,52,16,83,31,62,93,34,18,60,81,79,102,100,58,63,14,45,69,99,70,59,24,26,82,57,23,6,78,72,46,71,94,65,43,68,89,76,5,17,61,29,51,19,92,54,39,33,50,91,12,64,13,1,15
39,47,90,18,1,91,11,94,17,58,72,51,63,12,92,9,50,4,81,64,97,7,14,54,41,99,3,93,74,76,57,79,26,16,101,31,65,102,28,69,68,46,73,34,70,59,13,42,44,96,33,61,89,80,43,45,24,19,71,53,15,5,37,75,20,38,30,6,88,8,36,29,77,10,82,25,48,21,56,62,60,22,78,27,55,49,100,83,40,84,23,52,32,87,98,95,86,85,67,66,2,35
