# c-balanced sequence
# n=83
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
29,59,79,5,52,26,78,44,60,4,72,7,48,37,62,46,15,53,33,68,18,22,47,51,58,50,61,64,16,13,69,74,3,11,80,73,27,39,24,75,45,76,40,65,2,67,66,56,55,9,1,19,14,77,70,38,57,43,20,28,10,54,81,41,25,30,42,31,49,36,21,83,12,34,17,35,23,6,32,82,8,63,71
30,56,9,1,2,54,50,80,20,63,67,19,11,16,41,77,17,49,57,35,55,40,10,32,8,75,27,46,28,23,25,12,34,37,26,81,33,31,70,61,78,21,5,6,58,39,42,36,82,53,13,69,71,47,24,62,76,44,83,14,64,15,66,29,73,51,79,74,59,18,48,68,7,72,43,22,3,60,52,4,45,65,38
31,73,57,70,44,23,67,69,83,21,74,38,64,4,6,34,48,24,47,3,65,30,18,66,41,59,15,7,43,14,45,76,63,53,68,19,62,36,10,71,1,52,60,28,55,51,12,79,26,11,49,27,81,8,75,32,46,35,22,72,37,78,39,20,82,5,40,17,33,9,54,56,50,13,29,2,42,80,16,25,58,77,61
32,81,16,8,66,51,40,12,42,68,27,14,22,20,58,36,55,71,60,61,70,50,26,74,35,78,56,5,83,2,80,38,72,13,21,54,29,79,77,48,37,39,17,82,41,3,49,44,62,33,59,65,30,63,25,19,64,4,11,45,69,43,28,34,7,52,75,15,53,10,23,18,6,73,76,67,1,46,31,47,24,9,57
33,64,18,43,45,25,82,28,75,37,1,77,42,39,47,31,78,54,62,76,63,11,13,79,53,4,69,40,6,9,15,7,29,51,52,22,19,83,56,73,46,72,24,32,10,74,23,34,2,8,70,38,80,41,61,67,60,59,12,50,71,65,57,17,68,16,26,3,81,30,58,27,66,36,21,5,55,48,44,14,49,35,20
34,71,2,10,9,49,80,46,58,33,52,36,73,24,43,7,13,44,5,67,14,59,20,17,29,72,21,62,65,75,60,81,55,57,78,38,3,76,30,64,25,35,42,50,31,53,40,6,68,4,18,16,82,48,79,45,66,54,27,1,61,23,8,47,12,56,63,83,39,74,77,69,28,37,26,41,19,22,15,11,70,51,32
35,68,11,69,21,22,41,3,65,26,17,61,81,59,82,56,80,8,50,39,23,54,57,19,49,12,77,51,44,1,32,42,30,48,4,16,46,66,18,28,7,67,15,27,45,43,63,47,14,37,52,83,55,10,20,36,74,5,9,58,70,31,76,13,38,29,6,71,24,62,25,2,79,60,33,40,53,34,73,64,72,75,78
36,66,19,55,32,63,72,6,15,34,79,45,83,53,74,76,27,38,29,28,58,64,60,3,16,33,10,37,67,31,48,25,56,8,70,35,24,11,40,47,12,20,69,71,17,9,22,61,5,77,75,44,23,73,2,78,18,26,42,51,52,21,41,46,49,50,57,65,1,14,43,80,82,4,30,54,59,7,62,13,81,39,68
37,53,78,62,30,47,49,61,48,23,29,46,13,9,57,25,20,12,26,51,52,41,27,24,2,39,70,6,71,74,68,73,50,5,65,75,60,43,80,15,82,79,14,8,59,11,1,21,58,81,66,54,40,4,3,72,7,77,31,33,55,16,32,19,22,44,35,34,28,64,42,76,17,67,83,38,63,56,45,69,10,18,36
38,77,72,4,14,7,18,31,35,16,5,22,40,79,70,69,10,68,42,75,73,1,83,81,63,43,19,66,58,17,53,64,82,41,45,62,44,23,34,27,26,57,49,36,78,54,46,28,25,32,29,67,76,6,13,50,39,21,24,56,59,30,47,80,55,2,48,60,61,11,8,37,15,20,51,65,9,12,71,52,74,33,3
39,48,24,67,5,50,8,60,56,12,76,11,18,44,54,2,65,4,21,45,71,7,15,42,55,61,52,32,3,28,26,47,77,36,69,59,9,6,20,13,41,51,33,38,30,64,57,72,80,35,10,43,22,74,68,34,37,83,75,17,73,62,25,14,70,40,66,58,31,46,63,78,81,27,49,29,82,23,19,53,79,16,1
40,75,20,17,73,13,64,59,62,81,30,71,23,78,14,28,1,37,74,25,66,16,33,34,82,22,80,76,46,11,27,24,49,39,10,58,63,7,2,3,68,31,55,83,70,29,18,19,48,65,12,51,15,53,9,56,5,69,36,60,79,57,26,4,52,72,67,38,44,41,45,61,35,54,32,77,6,21,8,43,50,47,42
41,83,15,80,74,65,21,1,57,51,47,54,31,6,33,19,60,32,81,43,69,9,45,8,34,44,50,38,18,35,36,67,20,72,79,61,22,29,75,4,62,58,53,23,56,16,52,63,77,30,28,24,42,49,78,14,17,11,82,10,46,3,2,71,37,68,27,48,12,73,13,5,39,7,70,26,64,76,59,40,66,25,55
42,82,52,79,27,58,70,29,53,76,63,10,26,55,46,3,59,40,38,77,2,49,67,14,64,68,30,54,73,56,4,34,17,78,16,12,5,25,83,60,32,37,65,48,19,66,50,33,7,13,8,71,61,39,1,80,51,47,81,41,23,35,6,75,9,45,11,43,18,21,72,15,22,74,24,69,62,36,57,20,44,28,31
43,39,12,68,28,24,51,70,25,82,6,35,66,15,56,52,75,47,11,83,8,26,36,23,48,31,72,57,13,63,76,18,61,33,74,71,37,45,81,53,21,42,9,46,44,62,38,22,64,73,69,2,41,59,27,55,32,79,58,20,40,49,54,7,65,77,19,1,67,50,10,29,34,3,80,16,30,78,5,17,4,14,60
44,4,55,16,3,37,19,77,36,20,9,65,32,5,49,30,50,41,17,72,22,46,25,62,7,73,40,79,78,21,14,80,43,2,6,1,59,69,51,74,54,10,13,12,35,81,39,82,67,57,34,26,45,29,60,28,31,52,63,76,15,24,56,18,64,53,23,33,47,8,71,70,11,42,48,66,68,83,27,61,75,38,58
45,29,69,60,58,34,10,64,61,13,7,57,8,27,67,42,79,21,68,80,35,48,56,78,5,18,28,49,41,53,39,52,66,19,23,77,31,70,47,50,71,17,11,1,76,24,3,75,15,40,72,20,16,62,83,30,44,25,43,38,33,81,4,63,74,6,36,22,14,55,51,32,59,82,46,9,26,73,65,2,37,54,12
46,23,17,81,33,38,11,78,71,73,2,74,12,75,51,50,9,22,31,63,44,10,24,37,32,65,1,27,47,29,59,15,54,20,40,26,58,55,72,49,36,14,66,5,61,34,43,68,60,42,4,3,6,64,21,70,35,48,62,8,80,13,77,82,83,25,69,76,30,79,52,53,16,19,57,45,28,18,67,39,7,41,56
47,26,61,59,7,2,76,14,43,54,4,41,3,80,16,66,18,62,28,13,53,60,39,15,6,45,37,55,33,82,38,69,11,83,35,30,48,68,67,52,8,40,64,77,79,25,65,70,74,50,56,58,36,12,57,22,19,42,29,32,78,9,17,73,1,27,34,49,20,31,75,24,5,71,44,10,72,51,21,81,46,23,63
48,1,62,36,22,56,63,71,24,30,69,32,21,72,34,64,77,14,19,20,81,55,51,5,9,83,42,58,25,70,57,79,8,65,7,82,28,17,16,44,4,78,6,26,75,73,27,41,37,18,31,76,11,46,54,23,53,61,45,2,67,74,50,59,3,39,10,12,68,40,66,52,38,43,60,33,47,35,29,49,15,80,13
49,6,67,57,31,35,66,52,38,40,45,83,44,29,53,11,39,70,61,82,54,27,75,71,12,13,23,20,74,60,2,3,9,46,42,15,10,21,76,63,43,33,73,59,32,80,51,16,24,14,19,79,47,81,65,18,8,64,72,68,7,55,5,36,30,69,78,26,37,28,56,58,41,50,62,17,4,1,25,77,48,22,34
50,10,8,18,25,19,1,5,80,72,77,48,37,43,4,73,40,26,3,58,46,29,17,69,59,47,62,41,75,30,12,68,64,44,81,67,36,34,39,22,38,56,23,55,28,45,83,78,20,52,53,7,63,15,33,82,49,27,13,71,60,66,51,70,21,42,16,54,65,57,2,35,9,14,31,79,61,32,24,74,6,76,11
51,22,65,32,68,42,16,79,33,27,28,56,60,63,35,23,25,15,30,78,7,6,74,52,76,36,54,4,11,61,24,45,71,50,43,14,13,46,57,5,31,18,29,2,9,49,47,10,44,80,21,66,38,17,48,40,77,67,1,39,34,26,72,12,20,82,41,19,62,81,69,59,75,8,73,37,58,70,55,3,83,64,53
