# c-balanced Latin square
# n=87
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
32,69,9,47,58,22,59,18,48,83,77,41,42,63,24,62,80,15,60,51,44,86,40,1,67,43,87,25,46,29,12,27,35,73,23,72,61,65,57,17,26,81,49,5,50,11,64,53,52,82,16,74,71,30,20,54,55,78,10,34,21,75,7,70,37,3,85,38,2,36,14,76,68,66,79,56,8,39,45,19,84,6,33,4,13,31,28
33,68,74,45,53,10,21,8,20,16,11,76,85,29,35,87,52,23,2,36,49,26,39,66,6,55,4,7,37,3,30,84,41,65,18,40,64,58,62,75,56,28,9,19,38,43,60,31,83,80,12,46,34,57,59,22,42,32,51,13,72,17,67,27,79,63,14,69,15,82,50,81,61,24,77,44,25,73,71,86,48,1,47,5,54,78,70
34,84,71,78,64,27,44,17,42,86,57,14,50,73,4,13,37,68,69,31,52,70,82,24,75,29,38,61,47,60,28,66,81,32,15,80,74,63,3,2,79,39,77,54,7,1,22,36,87,41,20,26,67,6,45,33,5,43,19,16,25,48,53,11,62,83,8,35,9,56,55,30,51,59,49,40,72,46,85,21,12,58,18,10,76,65,23
35,77,13,12,1,4,40,25,56,23,43,55,72,49,46,41,82,59,28,5,81,30,21,58,19,9,54,53,62,83,10,80,48,11,22,50,51,32,67,85,27,20,73,61,6,69,70,33,24,8,44,86,65,7,29,64,18,76,63,15,68,71,14,3,47,42,2,78,84,31,37,66,16,57,45,17,36,60,79,26,74,52,38,34,87,39,75
36,83,65,46,15,75,61,22,85,34,5,87,45,31,78,51,33,19,39,64,84,7,17,48,56,60,40,18,26,42,70,59,16,8,86,14,79,6,38,55,66,76,52,71,12,57,49,30,23,47,37,4,3,81,27,9,77,58,82,50,2,54,11,43,24,29,28,10,62,80,72,67,21,32,73,1,68,13,25,63,53,20,35,69,44,74,41
37,54,6,67,26,24,66,30,62,32,80,65,58,38,3,8,44,74,79,43,20,22,57,63,69,27,72,50,17,73,2,1,71,13,25,76,52,59,29,10,78,11,21,31,68,84,16,56,35,39,14,53,87,28,40,75,47,23,60,70,85,81,77,36,19,12,45,5,34,18,46,33,4,41,9,48,15,83,82,64,55,49,51,7,42,86,61
38,53,18,55,7,63,86,2,16,28,48,12,81,67,60,70,11,47,83,71,35,68,10,15,14,85,41,76,21,9,64,36,44,82,77,75,49,4,33,26,45,69,46,42,58,74,34,5,78,25,59,32,51,73,19,8,79,72,1,61,80,22,66,20,30,57,39,6,13,29,23,3,65,52,27,54,50,31,17,40,87,62,43,24,37,56,84
39,87,51,62,76,21,29,9,77,84,79,1,52,5,82,20,25,63,42,17,45,3,33,36,35,34,23,24,66,43,19,53,74,61,30,31,47,54,41,40,48,72,65,15,37,28,13,2,27,85,18,69,55,50,44,83,12,49,26,46,56,6,86,4,78,64,68,81,58,7,60,22,71,38,10,75,11,67,16,57,70,8,14,73,32,80,59
40,73,23,14,56,8,6,47,54,69,49,10,70,22,72,27,50,7,75,16,4,61,37,59,44,78,81,12,67,71,13,58,57,34,46,42,21,43,68,83,60,82,64,80,3,32,45,86,79,20,63,11,38,39,35,15,62,31,84,9,24,36,41,87,17,52,1,48,55,51,77,53,19,26,85,33,74,30,76,5,28,65,2,29,66,18,25
41,86,48,20,13,61,36,31,15,74,2,64,19,26,68,30,57,18,32,1,24,73,11,51,25,8,28,80,45,55,49,85,84,39,62,5,16,56,7,53,87,50,34,4,29,75,65,81,77,43,66,54,60,17,76,52,67,10,14,33,58,78,63,38,9,59,21,40,47,83,35,44,70,79,42,6,37,69,23,27,22,46,71,3,12,72,82
