# c-balanced sequence
# n=70
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
4,21,15,24,26,29,40,45,66,58,64,42,3,2,12,65,5,31,11,53,67,33,59,10,36,60,17,63,49,30,56,54,32,1,51,68,47,14,27,16,50,23,20,19,44,52,9,8,57,43,62,25,6,48,13,35,41,34,39,61,37,55,7,70,38,69,46,22,18,28
53,35,11,8,63,36,43,33,41,28,37,47,38,39,30,16,13,46,22,66,56,58,34,68,69,7,14,42,61,62,6,44,2,55,9,23,70,12,45,24,48,21,32,40,5,59,18,29,67,54,19,15,49,64,52,20,31,10,1,26,4,3,65,57,17,50,27,60,51,25
49,6,5,34,1,18,39,31,20,50,59,55,44,15,33,9,43,19,60,70,52,40,54,48,12,26,67,28,64,25,68,21,57,10,22,4,65,58,17,13,14,3,7,63,38,46,61,69,27,35,51,16,2,29,47,53,45,11,37,36,24,23,8,66,30,62,32,41,56,42
55,2,69,67,61,4,17,30,27,51,56,8,13,24,32,7,38,57,25,3,37,62,45,47,29,41,6,53,16,60,59,66,20,23,46,11,34,35,49,43,52,15,22,42,10,1,36,31,70,65,33,39,26,28,63,48,18,44,50,21,19,14,5,64,9,68,54,40,12,58
46,9,68,14,19,21,65,42,63,12,48,26,52,29,23,4,58,44,69,10,50,51,35,28,70,37,18,27,33,1,3,8,31,38,57,54,36,60,40,39,41,64,62,47,67,11,25,24,30,5,13,45,56,43,66,17,22,20,32,2,53,59,6,16,15,34,61,55,7,49
62,41,20,18,13,5,64,7,16,25,54,22,61,40,45,34,36,1,24,30,11,2,23,66,39,65,31,26,55,51,49,17,19,15,32,63,37,59,53,28,56,9,21,33,6,68,4,58,50,3,46,42,44,27,12,60,38,8,57,52,48,70,47,14,35,10,43,67,69,29
52,11,6,28,66,67,3,38,43,10,47,35,17,60,49,27,42,59,14,32,61,15,19,5,56,46,22,54,70,58,45,18,29,64,48,50,44,2,51,69,20,55,8,30,26,57,16,53,40,12,34,7,4,37,21,25,9,68,41,62,39,33,1,65,24,36,31,63,13,23
50,15,36,29,39,24,69,25,53,62,40,60,31,63,70,56,68,16,48,21,41,42,57,7,20,13,8,4,9,35,12,67,47,33,30,26,27,43,10,38,17,1,37,54,34,65,45,28,32,52,66,61,14,55,23,51,59,5,18,6,49,64,19,58,11,22,44,46,2,3
59,57,2,64,10,49,46,51,33,45,66,1,58,8,44,37,12,34,6,55,65,9,31,16,43,52,29,30,32,63,50,14,5,21,13,42,22,11,47,23,62,61,41,3,36,35,48,19,68,24,20,18,69,70,54,27,7,26,56,67,40,25,4,60,28,39,38,17,53,15
68,22,55,70,54,37,14,44,47,4,19,67,48,27,11,28,23,7,5,26,18,17,36,64,38,3,62,34,15,53,24,52,6,40,39,1,46,25,56,9,57,13,58,12,43,69,2,49,33,31,60,59,41,50,30,10,63,35,42,29,32,61,20,45,21,66,8,51,65,16
