# c-balanced Latin square
# n=63
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
46,21,16,53,63,39,57,7,40,18,4,12,56,60,32,25,33,9,52,59,49,43,47,17,8,2,19,5,24,45,20,15,1,22,50,29,58,14,36,51,10,3,6,44,62,37,38,41,27,35,31,28,23,13,26,61,55,54,42,11,48,34,30
51,31,13,49,48,61,34,29,2,6,38,58,26,45,27,56,10,19,23,35,4,42,11,62,55,57,7,37,30,28,21,41,54,59,17,53,46,43,5,60,22,50,63,9,25,52,1,20,40,16,14,15,33,24,12,44,32,39,8,3,47,36,18
44,1,11,25,20,8,38,22,37,42,40,5,59,36,53,63,54,35,15,34,16,39,12,41,33,9,26,52,14,47,23,60,31,61,3,24,30,32,13,21,48,18,2,28,56,7,29,55,19,43,46,4,51,6,58,57,49,62,50,17,10,27,45
8,10,24,50,44,62,58,32,35,47,30,28,33,54,23,46,1,6,3,17,14,29,27,59,25,43,51,31,49,56,38,34,55,45,19,40,37,18,2,15,39,12,4,48,22,36,61,57,60,53,21,11,42,5,7,16,26,9,52,63,13,20,41
48,15,5,43,3,51,55,4,9,7,20,2,19,41,16,21,34,13,24,50,18,60,45,22,12,53,63,61,44,57,26,17,11,25,36,52,39,35,10,6,14,42,30,27,59,32,8,54,62,37,58,49,47,29,40,33,23,56,1,46,28,31,38
39,12,18,52,54,31,26,27,33,28,17,61,10,62,38,49,57,42,37,11,21,8,6,40,36,23,46,32,20,13,16,5,58,29,60,9,15,7,3,47,56,34,1,55,19,63,24,44,25,45,41,50,30,35,59,4,51,48,53,2,14,43,22
60,29,19,26,41,56,25,52,45,59,46,32,43,47,30,51,14,36,40,63,58,48,1,50,28,42,62,18,4,2,55,3,44,8,21,23,22,31,27,53,49,16,38,13,11,35,17,33,5,10,9,6,57,37,39,20,15,34,24,54,7,61,12
57,14,4,55,13,53,49,5,36,23,22,16,1,7,6,58,2,38,47,56,30,9,15,24,20,27,39,33,54,50,35,40,10,37,48,34,51,11,41,29,26,31,61,45,43,12,28,59,42,32,3,8,63,19,60,52,46,17,18,25,62,21,44
59,9,34,35,45,11,43,21,41,53,63,14,37,24,3,15,31,44,29,46,19,57,7,56,61,10,17,60,25,12,51,52,6,28,33,54,4,42,8,62,58,32,20,5,39,40,30,47,23,48,13,18,2,1,22,50,38,16,36,27,55,49,26
61,17,22,32,40,42,23,12,50,8,49,25,55,9,48,39,18,28,20,10,62,13,5,16,38,30,34,1,15,59,7,24,46,47,27,2,26,63,19,45,33,35,52,53,51,58,6,31,56,29,36,44,54,43,14,21,41,3,4,60,11,37,57
58,2,37,27,36,10,18,60,39,54,44,21,35,42,52,45,26,8,32,33,53,51,4,31,3,29,47,41,19,48,22,62,49,30,5,16,1,61,55,43,9,7,24,57,34,50,14,46,11,38,17,20,12,15,25,63,13,28,59,23,56,6,40
63,7,38,33,16,46,1,15,56,31,57,11,34,4,50,5,61,41,60,22,55,2,23,44,14,35,6,45,9,36,32,43,42,13,20,12,28,17,59,40,25,54,37,21,10,18,3,49,26,52,62,24,27,48,53,8,47,58,30,29,51,39,19
62,47,20,28,30,6,24,19,51,3,48,29,13,40,12,17,59,43,27,25,54,26,52,37,49,21,11,58,53,8,63,39,18,14,38,57,56,50,44,46,36,23,60,41,15,16,4,2,22,7,1,55,34,61,31,10,42,45,5,32,35,33,9
