# c-balanced Latin square
# n=56
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
40,28,26,47,44,24,14,9,50,38,41,34,37,42,54,5,35,21,32,25,17,10,12,27,22,13,53,30,31,3,19,11,48,55,45,7,46,39,8,18,29,33,23,51,4,15,2,1,52,36,49,43,16,56,20,6
33,18,27,29,37,46,16,36,23,56,52,20,47,43,49,31,2,4,44,45,14,55,7,35,6,51,26,8,42,15,50,30,25,32,40,9,17,1,38,53,28,48,24,3,10,11,5,41,54,39,13,12,21,19,22,34
41,17,32,8,30,15,6,18,1,10,16,53,28,39,55,38,3,48,23,19,5,21,11,24,49,34,7,33,9,46,56,13,4,27,54,2,25,43,52,22,12,35,20,31,26,36,42,37,47,29,14,51,45,40,50,44
52,3,13,9,39,29,11,12,54,43,2,31,35,20,56,22,34,51,45,15,50,42,14,40,36,44,16,47,21,49,1,28,6,38,26,30,10,32,7,37,55,5,41,46,25,19,27,18,48,8,23,4,17,33,53,24
53,25,55,24,1,42,48,31,19,49,4,27,5,26,8,33,40,36,7,17,22,37,46,43,39,10,38,20,18,32,35,47,12,51,41,29,21,23,44,13,56,45,34,9,50,52,6,11,28,3,16,54,14,15,30,2
51,23,34,44,5,40,45,33,6,21,14,3,18,10,11,25,46,9,16,50,13,4,53,28,29,41,30,52,27,37,2,55,22,54,8,15,48,19,20,47,24,36,42,17,39,7,56,12,31,1,43,26,35,38,49,32
43,13,20,22,7,30,50,38,47,39,35,15,19,32,2,41,24,12,52,56,6,26,36,31,54,1,45,11,48,8,14,17,44,42,53,28,5,33,40,3,27,21,49,4,16,29,23,51,25,10,34,46,18,37,9,55
50,26,4,49,54,32,7,21,8,42,37,36,12,51,17,29,14,18,28,27,44,24,48,9,25,55,23,3,5,52,10,16,31,43,46,1,45,56,34,39,53,30,2,33,47,35,38,40,20,41,6,15,13,22,19,11
45,16,53,11,56,37,10,28,41,29,33,46,17,38,30,39,1,19,40,55,23,47,54,34,2,15,18,13,35,36,4,24,20,3,9,51,14,22,49,50,6,25,12,48,8,43,44,52,26,32,7,42,5,27,31,21
46,15,3,2,35,28,23,55,27,25,6,42,48,9,44,20,52,34,43,49,8,31,22,38,26,7,21,12,50,40,5,32,19,11,37,33,41,4,17,54,51,18,1,24,13,14,16,47,30,53,45,10,39,36,56,29
48,22,19,17,21,12,24,43,14,52,1,32,16,31,47,13,11,41,5,10,30,20,42,51,45,3,39,49,53,33,6,34,56,29,18,36,26,2,27,15,7,37,28,54,40,38,50,55,35,9,4,8,23,44,25,46
47,9,25,51,36,38,5,10,30,34,40,26,45,27,18,4,54,15,35,53,16,33,8,32,46,56,37,29,22,13,44,7,39,23,6,48,50,55,14,43,11,52,31,19,21,49,24,17,42,2,12,41,20,28,3,1
44,14,18,52,6,31,20,56,3,55,50,39,49,23,19,21,53,7,29,1,28,35,2,41,4,43,48,25,17,24,12,38,40,47,5,42,8,16,30,26,9,46,10,45,34,33,32,36,22,54,37,27,11,13,15,51
54,8,36,34,13,33,41,26,4,7,24,11,2,22,46,51,50,38,37,42,32,12,56,10,14,27,9,15,28,39,20,49,45,16,25,35,23,29,21,31,19,44,43,30,5,1,3,53,6,18,48,47,55,52,40,17
37,2,1,15,48,9,27,29,11,45,23,8,54,25,5,43,30,6,33,21,40,3,44,47,18,19,17,51,41,55,31,53,46,13,4,38,52,36,12,35,20,22,26,32,42,28,10,39,14,50,56,49,24,34,16,7
49,39,31,40,20,17,22,42,16,12,28,43,55,7,35,36,10,44,13,26,34,27,50,30,52,24,5,46,19,11,21,37,41,1,14,32,47,15,6,2,23,3,56,53,51,18,54,8,38,33,25,29,9,4,48,45
35,29,41,46,14,47,51,32,40,53,19,56,52,24,15,42,17,25,3,4,18,38,6,16,23,28,54,2,1,45,9,8,33,34,22,20,27,13,10,48,49,50,39,11,44,37,30,7,43,55,21,36,31,26,5,12
32,21,5,38,4,53,1,34,48,9,44,13,50,33,37,16,49,56,39,24,11,45,29,55,12,31,36,10,26,43,54,51,35,30,7,40,3,18,28,42,8,17,14,27,22,2,25,19,15,46,20,52,6,41,47,23
27,10,30,45,26,18,3,13,2,5,22,47,14,6,28,12,8,31,20,36,48,19,49,1,11,42,50,44,7,23,25,15,52,21,17,39,37,9,24,32,34,16,55,35,41,46,4,29,56,51,40,38,53,43,33,54
6,56,7,23,16,8,54,15,17,46,20,21,41,1,40,9,32,55,14,51,52,43,39,37,33,35,22,34,4,29,18,3,2,49,19,31,11,53,45,25,38,13,47,36,12,48,26,5,24,27,28,44,30,50,42,10
12,11,42,50,43,25,44,49,35,31,30,10,4,3,48,45,23,22,2,46,7,15,5,13,53,40,32,14,38,47,27,36,26,28,24,55,56,54,51,33,41,29,6,52,20,9,21,34,16,17,19,1,37,8,18,39
24,55,33,28,19,52,39,37,36,51,18,38,29,34,53,26,27,47,54,41,9,25,17,21,20,8,6,56,16,30,48,42,50,10,12,43,44,46,5,1,4,40,7,15,23,31,45,49,13,11,22,3,32,2,35,14
