# c-balanced sequence
# n=81
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
38,4,69,78,2,20,14,43,23,5,37,75,45,47,77,55,79,50,46,51,60,80,76,9,59,48,52,33,35,56,73,7,3,11,30,62,66,32,54,34,25,13,71,6,64,68,31,63,61,18,39,65,81,42,58,27,21,22,67,29,28,44,72,36,26,53,17,15,24,74,16,49,12,8,1,40,57,19,41,10,70
39,56,10,63,7,21,6,72,12,22,9,49,64,24,33,58,32,42,71,8,15,44,31,78,61,1,57,62,18,14,28,55,16,75,29,52,67,73,35,26,79,36,19,53,69,41,34,3,70,17,59,60,66,45,54,81,40,68,13,30,74,46,23,50,80,37,4,25,11,5,38,48,47,65,76,20,43,51,2,27,77
40,65,61,18,60,45,17,16,54,11,33,41,29,35,19,57,38,53,30,13,64,74,23,68,2,36,50,4,22,25,21,69,81,76,80,48,27,51,14,37,43,42,46,77,47,12,32,10,20,31,49,75,5,71,6,1,15,62,44,63,70,58,55,79,34,39,3,26,8,73,56,67,28,7,72,9,66,52,78,59,24
41,73,81,74,71,76,31,46,48,79,36,59,27,80,20,52,4,15,56,28,26,39,51,3,55,66,67,34,43,5,58,70,37,53,7,18,44,30,49,47,45,35,60,24,42,72,78,29,11,8,38,40,2,61,25,9,19,23,12,69,16,65,22,77,54,1,57,21,6,75,64,10,13,62,14,68,17,63,32,50,33
42,3,24,77,1,68,11,75,49,81,57,25,15,12,34,70,78,65,5,6,62,32,10,64,63,28,47,20,44,54,72,79,13,26,8,43,56,50,40,21,23,2,9,67,17,7,74,19,30,16,73,51,52,55,22,76,29,14,36,4,31,80,66,33,48,59,27,38,18,41,37,71,46,35,60,58,45,39,53,61,69
43,8,77,67,72,58,59,7,50,40,62,31,13,9,69,23,66,60,14,61,21,16,27,47,41,29,70,19,48,46,65,22,4,17,1,71,68,45,55,38,12,28,39,3,63,57,75,5,51,15,76,80,10,33,35,32,37,24,53,52,18,64,6,78,49,11,44,56,42,20,74,2,30,26,25,36,81,54,79,34,73
44,34,63,38,76,35,52,53,26,20,55,14,51,17,10,2,49,22,24,30,73,37,25,45,75,18,74,11,42,80,32,40,39,27,78,64,36,60,6,66,41,46,65,54,81,56,48,59,68,33,57,58,79,69,50,47,62,8,71,61,77,13,9,43,1,23,16,72,28,12,70,19,29,5,21,67,31,15,4,7,3
45,19,79,10,13,30,5,4,28,39,80,71,1,78,7,18,8,54,3,31,9,59,69,38,33,35,56,73,12,37,6,15,34,61,2,57,58,16,72,29,62,70,50,44,52,26,77,64,23,53,36,74,63,43,17,67,20,21,46,25,24,60,68,76,81,51,41,47,75,55,66,42,14,27,49,32,11,65,48,40,22
46,21,64,33,16,32,51,69,47,56,43,61,53,66,36,48,72,6,12,76,29,77,50,67,71,60,26,65,7,23,24,68,14,31,42,20,75,9,74,19,11,49,10,22,18,27,13,55,40,81,37,25,1,39,4,70,41,54,35,34,5,15,38,3,2,73,45,52,79,17,58,78,63,80,44,59,28,57,62,30,8
47,15,23,37,28,65,22,2,68,55,44,70,42,21,11,36,41,46,25,17,74,81,8,58,79,40,5,27,49,59,62,51,57,30,52,67,63,54,24,31,32,69,4,34,1,38,80,66,18,78,71,3,12,73,14,72,45,33,48,75,10,9,29,19,53,20,35,7,13,50,60,76,39,6,56,61,26,77,16,64,43
48,12,78,9,29,62,73,18,32,27,3,60,52,4,54,16,75,19,1,40,20,57,14,63,6,13,80,81,39,50,33,35,10,79,25,59,53,17,77,15,76,61,2,58,36,43,8,28,41,22,45,7,65,64,31,44,42,56,49,26,11,67,30,5,46,55,71,66,69,24,21,23,68,72,37,70,34,38,51,47,74
49,5,25,66,75,26,24,57,58,80,35,45,67,56,74,63,43,64,70,34,77,46,7,55,72,44,78,51,1,53,71,38,76,9,41,3,13,11,48,23,73,33,37,20,68,30,79,39,52,47,42,21,19,17,60,59,16,28,50,6,32,12,69,61,62,8,36,65,31,27,81,54,40,22,4,10,2,18,14,29,15
50,27,54,22,11,81,41,60,61,30,17,72,38,10,68,76,37,39,23,21,66,42,43,2,4,15,69,26,36,45,31,29,12,19,62,28,47,5,65,56,8,64,55,59,70,16,6,14,9,32,80,24,77,34,48,79,57,18,1,51,78,7,20,40,63,58,74,67,25,49,52,3,53,13,73,33,35,44,46,71,75
51,20,71,31,15,39,34,14,13,48,59,65,6,8,28,79,73,18,33,58,75,53,49,52,24,22,32,77,3,67,61,16,63,60,74,23,81,69,10,44,78,7,40,25,76,21,54,35,62,27,29,56,46,70,68,26,30,55,2,47,38,72,37,66,42,4,64,80,36,57,45,43,5,17,9,41,50,1,12,11,19
52,36,70,14,46,40,19,74,64,38,7,29,50,69,42,45,62,2,44,55,41,47,5,30,16,9,8,68,11,34,1,43,56,21,73,37,26,22,80,58,35,57,51,17,66,60,71,67,4,12,6,72,20,53,13,15,63,3,27,79,81,39,77,75,59,65,33,61,10,31,24,28,18,32,54,23,48,76,49,25,78
53,6,1,3,33,59,67,71,44,63,24,76,32,77,57,61,12,80,65,35,68,19,78,54,36,17,10,64,25,66,2,20,41,50,28,15,4,27,42,72,81,18,75,5,45,13,11,49,46,43,48,26,30,74,38,7,23,40,39,31,62,21,73,47,60,22,58,16,14,34,29,70,9,51,8,55,52,79,69,56,37
56,7,16,4,79,17,9,37,35,21,31,78,5,13,25,40,27,81,11,22,72,60,3,73,29,46,23,70,52,58,38,18,48,54,49,55,32,61,39,71,47,14,12,19,62,77,10,24,50,34,33,28,69,75,36,51,65,74,57,66,15,8,41,45,43,64,2,76,53,59,44,63,67,1,68,42,30,20,80,6,26
75,18,74,69,8,80,43,41,6,66,26,23,30,15,62,20,28,4,34,63,37,48,56,51,39,57,31,42,59,47,49,64,33,45,24,35,76,70,29,79,36,9,53,52,73,65,14,61,1,55,54,44,16,78,2,58,5,67,10,19,68,22,71,25,11,12,7,32,40,77,50,38,81,46,17,72,3,27,13,60,21
68,2,72,40,49,55,12,10,19,77,64,16,58,81,26,47,51,71,38,50,79,13,1,20,32,53,21,18,14,30,69,67,65,66,44,75,34,46,7,6,60,27,43,31,3,80,37,25,63,23,9,22,59,8,76,52,11,73,17,54,42,4,36,70,28,48,29,78,15,56,33,61,35,41,74,57,62,24,39,45,5
55,39,62,61,23,36,42,54,52,25,73,33,11,46,44,24,9,59,7,67,22,17,70,76,12,45,27,28,13,60,74,77,5,8,72,21,78,2,56,3,1,30,48,29,26,15,57,20,79,38,4,31,41,40,53,71,81,80,32,43,37,63,35,34,18,50,49,19,68,6,69,65,51,16,58,75,47,66,64,14,10
58,29,5,57,48,1,47,45,8,65,53,67,73,60,3,14,34,78,10,38,43,15,26,19,80,37,81,75,54,17,63,4,11,46,6,68,16,40,51,18,50,25,24,41,32,33,64,69,74,44,13,35,61,21,66,28,12,49,70,76,55,56,27,52,79,72,62,23,39,9,2,30,20,71,36,77,22,31,59,42,7
76,30,47,28,43,77,32,63,51,2,50,69,74,70,75,66,29,56,27,52,24,31,71,65,35,41,61,15,79,62,10,78,36,59,14,38,33,48,8,20,68,16,22,39,7,49,42,58,19,73,72,5,67,3,11,6,46,64,45,9,1,23,17,26,57,44,37,13,60,21,4,80,25,12,18,34,53,55,40,54,81
