# c-balanced sequence
# n=58
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
44,9,11,50,38,2,24,29,42,7,25,23,4,12,33,15,46,54,13,22,17,6,1,27,39,20,35,51,3,48,18,31,55,5,32,52,10,36,45,28,26,30,16,8,49,14,57,43,47,41,37,56,58,40,53,21,19,34
40,20,17,26,19,31,7,16,13,58,49,35,56,45,3,22,43,53,5,11,8,34,18,52,44,37,36,32,21,4,30,38,47,14,33,54,6,57,42,41,50,29,48,25,15,51,23,46,27,10,12,1,2,9,39,55,28,24
6,14,32,39,48,51,41,30,57,15,34,3,36,55,27,56,16,47,28,29,50,26,9,23,25,10,12,4,58,11,1,49,46,19,31,24,2,54,37,38,7,53,21,40,22,35,45,5,18,52,20,17,44,13,42,43,8,33
47,49,38,25,53,1,5,43,46,2,10,22,54,52,18,20,42,45,14,37,24,21,48,57,33,56,40,28,8,55,23,27,58,44,35,51,26,15,11,4,13,39,19,31,12,9,17,34,29,50,32,30,41,6,7,3,36,16
35,28,3,4,55,50,33,21,12,24,40,29,15,6,44,13,31,39,51,32,42,36,30,19,54,41,5,43,17,25,9,16,8,52,22,56,7,34,18,20,46,1,37,58,38,26,10,53,23,14,57,27,11,48,47,49,45,2
52,23,19,18,26,11,8,56,27,37,13,48,46,47,53,38,17,34,58,16,1,45,14,51,2,7,49,20,30,10,29,12,21,40,57,41,39,9,32,24,3,42,6,36,50,33,55,28,35,5,43,54,22,4,31,15,44,25
36,54,41,45,30,44,25,39,22,11,20,31,43,2,10,4,12,55,9,57,5,7,49,32,42,34,18,27,35,50,6,24,33,53,1,23,13,14,52,51,15,28,17,3,29,8,19,56,58,40,47,48,16,21,26,38,37,46
33,21,57,58,9,40,49,23,36,52,8,16,17,7,29,28,37,6,48,46,44,39,35,15,3,50,38,26,53,41,22,5,43,2,18,30,47,19,31,25,55,14,34,11,54,13,32,12,4,42,45,24,1,10,51,56,20,27
24,10,42,51,12,14,3,32,35,50,26,41,34,1,5,11,19,15,56,38,53,20,31,28,8,6,16,52,47,44,13,54,4,37,45,46,55,58,21,40,23,57,49,27,30,43,48,25,2,22,33,7,36,18,17,39,29,9
34,15,1,22,43,17,55,4,45,38,18,42,51,25,50,40,24,26,30,2,27,54,47,13,21,29,46,37,39,57,36,7,32,10,28,49,12,48,6,33,5,56,9,41,52,16,20,31,44,11,3,8,53,19,23,58,14,35
56,29,5,46,16,47,20,28,54,19,30,9,33,49,21,8,36,41,18,25,12,43,4,17,58,45,48,23,31,14,15,42,3,11,38,27,50,53,35,44,22,10,2,7,39,24,37,1,51,26,6,13,55,34,52,32,40,57
31,7,2,27,13,37,48,6,53,44,39,57,58,14,35,32,23,52,3,10,33,22,40,55,11,24,9,1,19,51,56,34,26,25,20,16,29,17,8,36,43,4,45,47,18,42,21,38,15,49,46,28,50,5,41,54,30,12
