# c-balanced Latin square
# n=73
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
30,66,12,38,56,39,33,52,24,58,44,45,65,34,55,62,21,1,11,49,61,16,28,32,37,68,13,19,22,26,60,7,35,51,72,5,41,8,46,64,29,67,54,14,6,69,70,10,27,18,53,43,63,42,15,73,2,31,20,4,25,3,23,59,47,71,40,36,57,48,9,17,50
31,70,54,15,5,18,3,4,46,29,36,66,9,16,51,42,47,2,50,73,27,58,25,72,57,63,12,41,14,53,65,71,23,43,17,20,33,48,26,59,56,40,19,21,60,44,1,67,32,39,68,24,38,62,61,6,7,64,13,37,69,45,55,34,8,22,11,30,10,49,28,52,35
32,69,22,60,64,10,48,45,11,21,40,70,14,31,59,49,8,7,36,71,72,23,13,6,52,51,1,55,42,20,30,38,37,39,61,2,62,73,68,4,28,12,57,34,50,35,3,24,25,33,17,47,5,16,41,66,63,19,27,9,44,65,43,67,53,29,15,18,26,54,58,46,56
33,67,20,42,16,43,13,57,50,2,27,39,63,15,28,18,56,19,25,41,29,26,47,38,10,14,35,9,24,69,17,59,46,32,65,53,37,44,55,54,8,7,40,61,5,52,58,23,22,72,30,31,11,71,48,34,21,45,70,49,68,36,6,66,62,1,12,60,51,64,4,3,73
34,73,7,44,23,53,49,41,17,61,72,30,1,22,35,3,12,20,52,68,65,70,24,62,46,4,8,5,21,48,15,11,29,67,6,18,64,16,60,69,58,51,66,63,27,45,13,42,28,2,38,36,10,54,59,56,9,40,32,25,26,39,71,37,57,55,50,33,31,47,14,19,43
35,68,48,11,50,62,19,27,1,9,64,38,54,6,53,5,26,58,55,34,37,57,60,44,40,22,28,7,66,73,25,45,47,33,31,36,13,43,3,71,70,39,15,10,17,56,41,4,65,46,20,12,51,67,14,18,49,61,29,16,52,32,30,2,72,69,21,24,23,63,59,8,42
36,71,46,8,51,55,63,14,12,59,49,4,32,52,10,60,68,67,39,43,64,33,69,61,54,3,53,2,45,16,18,72,56,58,34,42,21,31,24,19,30,62,73,47,9,26,29,20,44,66,23,65,37,7,50,35,57,5,1,15,11,48,22,27,17,6,13,28,41,70,38,40,25
37,72,40,69,47,24,28,71,65,25,42,26,21,56,30,29,17,14,9,45,4,66,2,18,48,13,43,15,50,23,63,6,36,70,22,41,32,27,5,57,61,60,11,1,31,46,49,38,19,64,54,59,55,53,73,8,12,58,67,52,10,7,33,20,3,51,39,62,68,35,16,34,44
38,6,62,31,3,67,58,33,16,19,20,11,41,13,44,70,73,59,61,21,32,12,51,17,5,24,39,30,27,49,57,10,8,68,1,9,52,29,7,35,14,23,43,37,48,55,63,22,71,50,26,40,34,28,42,25,4,69,65,72,45,47,46,64,15,54,66,56,36,60,2,18,53
39,18,52,25,45,35,66,34,22,47,57,37,15,36,7,50,23,65,71,69,46,63,42,1,59,27,6,56,67,60,33,55,62,28,26,40,12,54,20,13,38,72,2,41,53,32,16,70,21,3,8,14,43,44,64,9,24,68,51,30,19,31,29,17,5,10,73,4,58,61,48,49,11
