# c-balanced sequence
# n=77
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
29,43,16,52,64,8,50,18,24,44,53,59,57,14,75,35,26,60,49,71,69,6,7,39,48,23,1,22,77,11,5,9,61,37,13,33,67,34,38,30,54,51,63,36,12,46,21,70,40,41,74,72,65,47,45,58,27,28,76,3,31,25,17,68,15,73,10,19,55,4,42,62,66,32,20,2,56
30,67,4,56,39,2,35,9,63,66,5,65,42,37,21,3,12,1,20,58,64,28,45,26,25,70,32,55,18,27,68,29,76,47,16,51,41,7,24,62,10,17,15,74,38,71,31,14,22,19,46,73,54,8,44,33,77,69,11,6,36,43,40,53,61,57,48,23,50,59,72,75,60,13,52,49,34
31,60,73,40,34,42,74,62,46,54,61,33,23,7,70,8,69,14,22,47,25,36,63,44,77,58,75,72,48,20,10,35,26,30,19,28,59,53,71,39,52,50,49,55,11,64,66,24,56,57,5,68,13,17,2,12,32,38,18,43,51,67,76,21,65,27,41,16,45,15,1,37,9,29,3,6,4
32,66,19,17,16,21,47,12,45,55,69,68,29,51,31,13,38,9,27,73,52,11,2,50,40,76,15,56,41,6,43,74,18,53,5,4,58,57,65,60,67,28,37,34,23,72,3,48,62,25,77,35,59,7,20,1,75,70,10,42,54,63,24,49,64,46,14,8,30,22,36,33,26,61,71,39,44
33,57,68,71,1,77,75,15,36,26,28,43,24,48,53,59,23,11,61,54,72,51,4,64,49,37,67,65,12,30,3,14,46,25,44,73,27,6,2,10,16,13,8,42,31,20,45,47,70,60,21,55,32,63,9,41,22,50,39,56,29,66,34,18,74,62,17,7,52,35,69,58,19,5,40,38,76
34,50,22,44,7,65,1,70,72,18,38,60,58,41,30,71,5,10,15,39,45,13,3,56,62,53,19,64,66,69,67,46,32,63,8,21,77,74,76,33,9,43,40,29,61,17,4,73,35,36,26,6,11,37,52,14,24,25,23,48,55,31,20,16,75,59,68,51,42,2,49,28,12,57,27,54,47
35,75,14,49,4,20,25,27,48,8,6,46,63,40,2,50,74,76,16,37,42,62,18,55,31,24,68,54,7,57,52,70,59,22,38,17,23,69,56,36,29,47,58,41,77,19,1,12,30,15,34,28,51,64,61,60,44,53,45,26,13,5,10,71,66,9,32,33,39,11,3,43,67,73,72,21,65
36,51,3,13,29,47,67,10,59,41,76,9,26,17,52,43,32,44,73,20,12,8,66,19,5,21,38,33,71,34,16,60,49,11,40,42,75,55,61,14,45,57,7,18,54,24,65,39,27,74,23,2,22,31,46,68,15,72,4,28,50,58,62,6,35,56,69,25,37,64,70,30,48,63,53,77,1
37,58,11,64,69,24,77,45,21,56,22,62,27,19,4,57,54,25,28,6,1,34,23,29,65,9,61,36,63,51,2,8,31,50,15,39,68,72,43,35,5,48,75,53,3,32,42,33,16,66,71,44,40,49,70,26,30,73,67,12,41,7,59,60,47,38,52,20,76,18,13,10,55,74,17,46,14
38,53,74,39,28,48,32,72,2,61,10,42,15,12,49,55,33,30,68,67,41,60,77,14,13,17,70,73,35,3,44,7,4,20,9,56,47,18,66,64,46,63,11,25,59,6,26,34,52,58,37,76,1,5,62,71,43,16,65,19,27,8,57,23,51,69,29,22,40,21,31,45,50,54,75,24,36
39,63,59,66,6,23,31,76,30,73,70,52,18,5,16,58,64,65,36,40,43,35,33,46,47,75,45,28,14,26,24,48,21,71,51,27,1,37,12,54,19,68,20,62,10,22,49,69,2,50,60,13,67,29,55,57,74,17,3,77,72,11,56,44,42,4,38,61,9,53,8,41,34,7,15,25,32
40,37,8,3,54,11,17,53,71,51,57,25,44,22,20,67,46,75,7,27,26,70,21,69,30,74,34,52,60,61,50,42,62,49,55,2,72,13,29,59,41,65,32,4,35,15,48,9,18,56,38,10,33,43,39,24,6,47,5,36,14,76,63,45,77,1,58,31,73,12,16,19,64,66,23,68,28
41,9,62,19,12,13,5,59,65,24,50,1,55,77,47,45,56,4,29,23,32,72,58,15,6,16,57,43,22,38,54,10,73,66,36,76,25,44,39,31,17,26,14,67,69,21,68,7,28,40,63,75,8,30,53,42,64,35,46,52,49,74,37,34,2,3,60,70,71,48,61,27,11,20,18,33,51
42,38,56,33,52,68,46,29,7,34,14,31,35,64,60,61,17,49,48,66,3,63,10,2,71,18,27,77,11,1,37,58,69,72,53,23,70,5,28,40,74,8,30,45,50,16,13,51,25,43,24,20,57,19,76,65,12,54,9,21,73,32,26,36,39,55,6,67,15,75,4,47,62,44,22,59,41
43,20,21,55,15,60,26,14,68,35,51,16,54,69,34,74,39,2,63,18,75,31,24,41,36,12,8,59,9,25,76,47,33,67,45,65,22,32,42,77,62,38,6,1,44,70,73,11,64,61,17,3,7,4,58,27,66,23,71,10,53,52,48,40,19,13,28,50,57,49,56,72,29,37,5,30,46
44,27,23,76,10,73,57,6,9,49,66,47,37,72,13,28,62,53,67,48,11,22,50,7,39,4,29,5,56,32,30,40,17,19,74,12,64,3,63,15,34,61,33,71,51,52,36,46,55,59,69,70,41,18,35,75,31,45,38,20,16,54,21,65,1,14,25,24,26,68,60,77,58,42,8,43,2
45,18,65,5,61,58,43,50,19,28,75,36,71,70,1,26,40,42,8,52,14,25,53,38,76,49,55,16,51,31,20,13,64,68,57,46,60,24,73,41,4,23,21,37,9,27,39,30,47,77,44,54,72,22,48,34,56,59,7,15,2,62,33,29,67,63,11,3,66,69,32,6,17,35,10,12,74
46,17,70,30,2,69,33,4,74,67,3,32,11,15,7,24,37,12,19,21,73,77,54,42,59,10,44,62,53,23,27,41,6,28,56,52,35,45,50,16,48,49,60,66,72,57,58,63,29,8,13,14,47,20,25,51,1,55,26,22,68,61,64,75,43,18,5,39,34,36,38,65,71,40,31,76,9
47,25,77,31,72,22,8,63,13,64,40,74,41,56,65,66,9,29,57,38,71,5,55,43,20,35,26,48,58,68,39,12,34,3,10,75,54,61,30,1,18,27,36,76,19,2,67,42,59,62,6,11,23,32,17,21,37,49,69,24,60,51,70,28,7,15,53,46,33,14,44,4,45,16,73,52,50
