# c-balanced sequence
# n=68
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
36,47,62,10,14,63,50,21,18,24,48,26,67,65,38,4,56,9,3,55,29,60,39,52,43,40,45,31,16,46,17,51,23,54,22,59,34,2,20,25,5,53,57,58,42,37,33,41,66,30,1,6,27,68,61,64,49,35,13,15,19,11,28,32,12,8,44,7
37,13,66,29,46,51,3,59,16,15,44,56,8,1,30,12,52,57,6,68,50,53,64,32,42,54,35,41,31,63,14,25,49,5,33,19,7,62,27,61,11,34,28,47,45,48,38,21,22,18,36,10,60,43,24,2,40,55,4,65,58,26,17,9,67,20,23,39
38,7,41,31,27,55,67,8,20,33,11,30,28,60,13,40,18,23,34,2,47,1,22,14,65,62,58,9,48,61,6,24,56,21,26,17,53,3,45,10,39,29,36,35,32,4,12,19,63,49,16,59,52,15,54,46,50,51,5,43,44,66,68,57,25,64,42,37
43,5,53,68,44,17,48,64,10,25,39,2,59,57,49,54,35,46,32,66,36,16,21,51,41,12,4,15,67,19,50,60,27,55,28,52,42,18,37,23,7,65,13,11,30,56,61,34,26,38,20,47,14,29,58,8,63,9,22,62,40,33,24,3,1,45,31,6
40,22,3,32,54,9,42,19,62,12,29,23,45,33,21,24,65,28,48,20,17,61,63,58,49,26,34,30,37,8,38,59,39,10,50,47,25,51,44,41,1,15,6,66,43,68,67,64,13,31,57,46,2,56,5,4,52,11,18,53,7,60,35,27,55,36,14,16
42,4,60,26,1,11,31,65,47,58,36,53,35,15,6,7,68,14,45,51,25,24,37,44,56,13,27,66,20,18,2,52,46,29,57,9,64,63,59,16,22,17,62,12,5,3,55,43,32,8,39,54,33,40,67,61,38,48,34,19,41,28,49,23,10,21,30,50
56,16,49,34,18,23,43,52,38,61,30,46,50,37,22,2,39,27,64,40,67,28,55,57,7,5,11,10,3,36,33,13,48,41,4,8,31,60,12,26,20,19,24,21,1,53,14,29,58,25,35,62,45,9,42,66,44,6,68,17,32,47,15,51,63,59,65,54
14,18,67,6,16,50,5,57,27,34,21,55,47,66,8,41,9,31,10,62,63,19,33,59,29,68,17,53,40,1,35,32,45,42,58,30,56,65,64,54,49,51,61,60,7,44,20,15,23,11,28,48,13,24,39,12,36,3,37,46,52,22,4,43,2,26,25,38
52,12,25,24,61,58,13,32,28,11,59,54,4,51,45,20,44,17,38,60,8,15,26,9,3,48,22,46,39,14,65,37,43,62,66,23,6,21,36,47,33,68,67,50,63,10,2,35,42,40,55,19,49,30,57,53,27,56,1,31,16,29,18,64,7,5,34,41
2,44,19,64,36,30,29,56,35,63,13,41,3,7,26,25,58,53,42,15,10,31,34,23,38,1,6,57,43,54,28,49,16,18,68,61,32,5,55,9,40,62,27,4,39,51,52,50,46,24,21,22,65,17,37,59,14,47,33,67,45,12,11,20,60,48,66,8
48,20,59,21,37,33,15,66,39,49,5,40,68,14,50,55,22,1,46,52,43,4,11,65,60,63,47,24,56,12,64,19,25,7,29,67,36,34,31,35,38,3,2,18,41,8,27,45,28,9,17,53,23,58,26,10,16,30,62,13,6,44,61,54,32,42,57,51
