# c-balanced Latin square
# n=96
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
28,94,80,13,69,67,42,41,17,70,37,56,5,48,34,32,20,65,29,46,3,22,14,58,12,16,44,53,39,25,55,76,9,11,68,43,50,90,87,96,23,83,73,71,88,27,30,2,8,64,21,40,4,74,62,82,79,86,36,85,59,84,1,15,52,38,47,89,81,18,24,77,10,57,91,60,45,49,92,66,54,31,93,6,51,63,61,7,75,26,95,35,33,78,19,72
92,83,77,4,85,55,45,3,36,61,18,6,81,7,1,95,74,25,50,47,72,11,52,24,88,89,54,19,8,63,35,59,75,17,91,84,93,70,78,40,39,46,86,29,15,62,44,31,38,66,94,76,33,10,20,49,60,80,57,42,2,65,27,28,68,64,51,82,32,5,12,26,67,9,21,90,79,22,69,13,48,56,14,58,34,71,87,37,53,73,16,96,43,23,41,30
30,75,79,54,86,60,23,40,68,67,5,21,38,26,9,37,90,71,62,56,64,57,36,33,27,82,95,43,73,65,69,96,72,22,13,88,28,51,48,32,34,16,77,80,14,92,52,49,55,46,41,93,35,58,42,24,81,87,3,50,91,25,89,10,53,83,31,7,61,74,19,11,76,63,18,78,1,6,84,4,29,20,12,17,39,94,47,59,66,2,15,45,85,44,8,70
31,73,87,76,14,91,49,51,10,44,53,20,8,89,16,48,66,47,84,41,39,83,2,59,1,26,85,15,74,42,78,34,58,12,81,23,7,71,37,18,5,65,19,72,79,6,61,21,50,45,43,96,63,56,29,17,36,22,94,38,30,9,88,67,4,86,90,70,35,75,69,13,80,60,93,52,33,25,24,95,55,57,77,40,46,28,11,32,62,54,3,64,92,82,27,68
32,50,95,62,12,15,57,20,11,52,46,96,22,19,82,3,78,76,7,35,70,45,13,28,30,64,18,60,68,29,66,24,4,53,40,80,10,33,17,59,67,25,74,90,63,94,54,9,73,87,27,44,39,77,41,51,84,14,48,69,93,79,55,49,37,92,6,56,85,34,65,2,47,8,71,83,58,16,23,86,43,72,81,75,26,5,89,88,36,21,91,38,61,1,42,31
33,11,17,61,70,29,72,65,85,84,88,42,92,27,46,23,43,51,93,94,52,79,69,48,21,55,45,37,75,31,36,38,19,2,77,8,83,6,54,58,86,3,56,9,60,89,78,82,47,1,57,81,91,95,64,73,32,16,5,7,71,10,40,13,26,66,12,20,25,68,39,62,4,41,96,28,34,15,44,80,30,59,22,74,87,67,24,35,50,18,53,76,49,90,63,14
34,64,9,16,39,25,58,6,47,59,81,44,77,71,86,41,63,87,28,61,96,40,4,91,38,50,32,90,80,67,49,62,30,5,27,1,14,92,94,24,66,35,76,2,93,45,7,22,53,36,68,26,15,13,85,75,18,70,12,78,72,31,46,65,21,74,95,23,29,55,88,79,54,43,48,42,89,8,82,11,52,17,3,83,73,56,60,19,57,69,33,51,84,37,20,10
35,89,18,10,88,26,24,74,63,55,60,43,82,25,80,54,57,4,14,49,8,68,6,15,73,22,56,23,3,12,48,93,13,39,79,51,31,69,52,75,21,61,91,20,38,33,95,62,17,42,28,11,84,34,37,92,5,83,47,53,19,16,76,45,32,59,46,44,90,66,1,9,29,72,30,40,27,87,50,36,78,64,70,41,96,85,77,86,2,81,67,7,65,94,71,58
36,66,2,81,1,56,68,21,32,53,94,75,90,29,13,69,64,40,77,17,5,16,67,78,20,42,7,84,72,89,87,83,74,86,37,46,95,65,50,44,55,11,41,10,85,23,26,76,24,59,30,8,19,70,3,96,71,54,58,15,82,43,4,60,6,63,88,92,27,57,49,14,33,31,51,25,62,73,45,61,35,47,91,79,38,18,9,28,48,52,22,39,12,34,93,80
37,79,73,91,65,27,19,1,14,93,45,28,83,52,12,44,85,31,18,33,30,59,92,49,9,25,35,76,88,61,70,11,82,71,47,41,34,57,62,84,63,64,43,96,67,51,58,80,60,69,20,48,89,86,23,2,72,74,6,90,56,38,77,7,81,94,36,87,78,50,75,17,22,53,3,46,24,39,21,40,26,10,68,95,54,42,5,29,16,4,8,66,32,15,55,13
