# c-balanced sequence
# n=54
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
36,20,38,51,22,3,44,34,29,39,24,26,19,48,5,17,35,14,41,10,53,43,2,21,32,23,30,16,13,50,6,8,25,37,7,54,4,40,33,1,49,31,46,45,27,52,47,15,42,9,28,11,18,12
49,14,25,53,8,15,54,12,23,13,50,46,1,11,6,42,51,2,30,27,47,22,26,9,33,18,48,52,31,32,45,28,3,17,16,5,35,43,37,21,36,44,24,39,34,29,4,19,7,20,41,40,38,10
42,21,23,18,28,30,40,2,43,37,17,33,47,31,7,16,45,13,12,52,20,44,35,27,11,24,34,29,4,39,54,9,19,49,38,36,8,3,41,10,48,53,15,25,1,51,5,26,6,46,14,50,22,32
39,3,35,27,16,10,5,26,41,46,47,38,49,4,34,50,32,25,36,17,9,8,7,24,1,14,44,19,20,12,15,21,48,42,30,29,2,51,22,18,6,40,11,33,28,43,23,53,54,37,52,45,13,31
48,5,45,4,29,11,52,13,32,20,19,25,43,41,24,54,33,42,53,21,12,39,28,22,6,15,10,36,37,51,18,17,40,26,14,38,46,1,47,23,31,7,9,44,50,49,30,35,8,2,3,27,34,16
37,15,47,52,40,44,22,1,51,7,28,14,30,38,10,31,2,26,8,6,49,23,5,13,50,54,11,46,43,33,3,35,53,27,45,34,41,21,24,16,9,4,17,32,36,39,48,20,18,29,25,12,42,19
46,19,31,9,17,24,23,27,6,50,35,36,8,53,20,29,21,18,45,44,4,48,40,43,34,3,42,49,7,16,26,32,2,41,39,51,28,13,25,12,15,54,37,52,22,38,14,10,11,1,5,30,33,47
38,12,36,37,33,14,18,3,34,54,8,11,9,16,39,48,28,35,1,15,30,46,51,41,29,31,4,25,22,19,5,47,52,32,23,20,6,10,49,43,2,42,27,50,13,24,45,40,44,26,17,21,7,53
43,1,49,26,2,41,42,30,22,53,21,51,5,12,45,13,7,47,34,32,25,27,16,37,10,17,20,24,35,52,40,14,44,46,48,50,11,36,39,3,33,19,28,8,54,18,31,29,23,6,38,15,4,9
50,13,6,39,54,25,29,4,15,52,10,32,24,17,9,44,40,3,11,18,38,19,14,23,36,45,53,33,28,47,7,1,12,8,31,22,27,5,35,42,26,20,34,51,46,21,37,16,41,30,48,49,2,43
51,7,28,48,19,34,20,31,40,33,42,16,54,27,49,23,52,46,37,22,41,50,47,8,26,21,43,38,15,2,13,30,11,9,44,17,53,18,29,45,5,14,10,6,4,3,25,32,39,12,35,1,36,24
44,53,32,20,35,26,21,45,46,2,43,3,39,18,1,11,6,17,29,49,5,10,33,31,42,37,27,14,30,36,25,4,28,34,24,12,16,23,19,40,47,41,38,48,15,7,54,51,9,13,22,52,50,8
41,9,10,5,47,36,38,24,14,30,25,48,22,33,51,15,4,19,50,35,2,52,12,39,7,16,13,23,1,29,8,49,6,54,3,43,45,32,44,53,37,21,18,31,40,20,27,46,17,42,34,28,26,11
34,8,16,21,45,31,37,11,17,27,23,13,28,42,32,25,12,24,54,43,26,3,53,20,46,22,40,6,18,9,48,50,51,4,19,52,33,15,38,7,30,39,2,29,41,35,1,49,36,47,10,44,5,14
40,4,14,3,1,49,7,47,44,12,29,15,6,35,26,36,8,48,28,42,34,54,18,38,30,2,5,41,45,11,24,16,39,13,10,21,37,20,27,17,22,25,23,53,9,33,50,52,43,19,31,32,51,46
52,18,29,15,23,12,51,19,5,41,1,7,50,2,46,43,53,39,38,31,40,21,4,44,9,49,47,32,17,27,10,20,22,33,35,42,14,54,34,13,24,3,36,26,30,11,8,28,48,16,45,6,37,25
33,17,30,24,13,28,32,16,38,36,45,20,37,3,19,22,10,27,9,51,14,11,6,25,48,35,50,54,53,21,42,23,5,18,29,1,26,31,46,8,52,12,49,43,47,44,34,2,4,15,7,39,40,41
25,11,22,42,43,53,48,35,8,49,4,34,44,21,14,30,37,23,33,13,29,45,32,15,28,52,12,39,26,46,31,41,36,7,2,40,47,9,6,50,51,16,1,19,5,10,17,24,38,27,18,20,3,54
2,27,54,46,50,6,39,10,9,26,18,31,40,52,47,41,5,20,16,7,36,24,1,17,19,51,8,3,44,34,43,38,37,15,25,49,30,48,4,28,11,32,45,35,14,12,42,13,22,33,53,23,21,29
